site,date,burrow_name,Gunnel,Sculpin,Other,burrow_visit,intern_data,qaqc_concern
Cliffside,6/28/09,3,1,,,,,
Cliffside,6/28/09,4,1,1,,1,,
Cliffside,6/28/09,5,,,,1,,
Cliffside,6/28/09,6,1,,,1,,
Cliffside,6/28/09,7,,,,1,,
Cliffside,7/6/09,1,,,1,,,
Cliffside,7/6/09,3,,,,1,,
Cliffside,7/6/09,5,1,,,,,
Cliffside,7/6/09,6,2,,,,,
Cliffside,7/6/09,9,1,,,,,
Cliffside,7/6/09,10,1,,,,,
Cliffside,7/6/09,11,1,,,,,
Cliffside,7/13/09,1,1,,,1,,
Cliffside,7/13/09,2,,,,2,,
Cliffside,7/13/09,3,3,,,2,,
Cliffside,7/13/09,4,2,,,1,,
Cliffside,7/13/09,5,2,,,2,,
Cliffside,7/13/09,6,2,,,2,,
Cliffside,7/13/09,7,1,,,1,,
Cliffside,7/13/09,8,,,,2,,
Cliffside,7/13/09,9,1,,,2,,
Cliffside,7/13/09,10,1,,,4,,
Cliffside,7/13/09,11,1,,,1,,
Cliffside,7/13/09,12,,,,2,,
Cliffside,7/13/09,13,,,,2,,
Cliffside,7/21/09,3,,,,1,,
Cliffside,7/21/09,10,1,,,1,,
Cliffside,8/5/09,1,1,,,1,,
Cliffside,8/5/09,2,1,,,1,,
Cliffside,8/5/09,4,1,,,,,
Cliffside,8/5/09,7,1,,,,,
Cliffside,8/5/09,12,1,,,1,,
Cliffside,8/11/09,8,1,,,,,
Cliffside,6/23/08,1,1,,,,,
Cliffside,6/23/08,2,,,,1,,
Cliffside,6/23/08,3,,,,1,,
Cliffside,6/30/08,1,2,,,,,
Cliffside,6/30/08,2,,,,1,,
Cliffside,6/30/08,4,,,,1,,
Cliffside,6/30/08,5,1,,,,,
Cliffside,6/30/08,6,1,,,,,
Cliffside,7/7/08,1,,,1,,,
Cliffside,7/7/08,3,1,,,2,,
Cliffside,7/7/08,5,1,,,,,
Cliffside,7/7/08,7,,,,1,,
Cliffside,7/7/08,8,1,,,,,
Cliffside,7/7/08,9,,,,1,,
Cliffside,7/7/08,10,1,,,,,
Cliffside,7/11/08,2,1,,,,,
Cliffside,7/11/08,3,2,,,,,
Cliffside,7/11/08,4,1,,,,,
Cliffside,7/11/08,5,1,,,,,
Cliffside,7/11/08,11,1,,,,,
Cliffside,6/28/10,1,,,,1,,
Cliffside,7/3/10,1,1,,,,,
Cliffside,7/3/10,5,1,,,,,
Cliffside,7/3/10,6,2,,,,,
Cliffside,7/5/10,1,1,,,,,
Cliffside,7/5/10,3,1,,,,,
Cliffside,7/21/10,6,1,,,,,
Cliffside,6/28/11,1,,,,1,,
Cliffside,6/28/11,2,,,,1,,
Cliffside,6/28/11,6,,,,1,,
Cliffside,7/6/11,1,,,,1,,
Cliffside,7/6/11,2,,,,1,,
Cliffside,7/6/11,3,,,,1,,
Cliffside,7/6/11,4,,,,1,,
Cliffside,7/6/11,6,,,,1,,
Cliffside,7/18/11,1,,1,,,,
Cliffside,8/3/11,1,1,,,2,,
Cliffside,8/3/11,2,2,,1,2,,
Cliffside,8/3/11,3,2,,1,,,
Cliffside,8/3/11,4,4,,,,,
Cliffside,8/3/11,5,2,,2,,,
Cliffside,8/3/11,6,2,,2,,,
Cliffside,8/3/11,7,2,,,,,
Cliffside,8/15/11,4,,,1,2,,
Cliffside,7/2/12,1,,,,1,,
Cliffside,7/2/12,2,,,,1,,
Cliffside,7/9/12,2,,,,1,,
Cliffside,7/9/12,3,,,,1,,
Cliffside,7/16/12,2,,,,1,,
Cliffside,7/16/12,3,,,,1,,
Cliffside,7/23/12,4,1,,,,,
Cliffside,8/6/12,5,,,,1,,
Cliffside,8/6/12,6,,,,1,,
Cliffside,8/6/12,7,,,,1,,
Cliffside,8/14/12,4,2,,,,,
Cliffside,6/25/13,1,,,,2,,
Cliffside,7/2/13,1,,,,1,,
Cliffside,7/10/13,1,,,,1,,
Cliffside,7/15/13,2,,,,1,,
Cliffside,7/15/13,3,,,,2,,
Cliffside,7/22/13,4,,,,2,,
Cliffside,7/22/13,5,,,,1,,
Cliffside,7/22/13,6,1,,,1,,
Cliffside,7/29/13,2,1,,,1,,
Cliffside,7/29/13,3,,,,1,,
Cliffside,7/29/13,4,1,,,1,,
Cliffside,7/29/13,5,,,,3,,
Cliffside,7/29/13,6,1,,,2,,
Cliffside,8/9/13,4,,,,2,,
Cliffside,8/9/13,5,,,,1,,
Cliffside,8/9/13,6,,,,3,,
Cliffside,8/9/13,7,1,,,1,,
Cliffside,8/9/13,8,,,,1,,
Cliffside,8/12/13,5,,,,1,,
Cliffside,8/12/13,2,,,,1,,
Cliffside,8/12/13,3,1,,,,,
Cliffside,8/12/13,6,,,,3,,
Cliffside,8/12/13,7,1,,1,,,
Cliffside,8/12/13,1,1,,,,,
Cliffside,8/12/13,8,,,,1,,
Cliffside,8/12/13,9,,,,1,,
Cliffside,8/19/13,6,1,,,,,
Cliffside,8/19/13,2,,,,1,,
Cliffside,8/19/13,7,4,,,,,
Cliffside,8/19/13,4,,,,1,,
Cliffside,8/26/13,4,1,,,1,,
Cliffside,8/26/13,6,1,,,,,
Cliffside,6/16/14,1,,,,1,,
Cliffside,6/16/14,2,,,,2,,
Cliffside,6/16/14,3,,,,3,,
Cliffside,6/30/14,1,,,,1,,
Cliffside,6/30/14,2,,,,1,,
Cliffside,6/30/14,3,,,,1,,
Cliffside,6/30/14,4,,,,1,,
Cliffside,7/7/14,1,,1,,1,,
Cliffside,7/7/14,2,,,,1,,
Cliffside,7/7/14,3,,,,1,,
Cliffside,7/7/14,4,,1,,,,
Cliffside,7/7/14,5,,,,1,,
Cliffside,7/7/14,6,,1,,,,
Cliffside,7/14/14,1,,1,,,,
Cliffside,7/14/14,2,,,,2,,
Cliffside,7/14/14,3,,1,,2,,
Cliffside,7/14/14,4,,,,1,,
Cliffside,7/14/14,5,,3,,1,,
Cliffside,7/21/14,1,,,,2,,
Cliffside,7/21/14,4,,1,,2,,
Cliffside,7/21/14,5,,,,1,,
Cliffside,7/21/14,6,,,,1,,
Cliffside,7/21/14,7,,,,1,,
Cliffside,7/28/14,1,,,,1,,
Cliffside,7/28/14,2,,,,2,,
Cliffside,7/28/14,5,,2,,,,
Cliffside,8/4/14,2,,1,,,,
Cliffside,8/11/14,3,,1,,,,
Coupeville Wharf,6/24/13,1,,,,1,,
Coupeville Wharf,7/2/13,1,1,,,,,
Coupeville Wharf,7/10/13,1,,,,5,,
Coupeville Wharf,7/10/13,2,,,,2,,
Coupeville Wharf,7/10/13,3,,,,1,,
Coupeville Wharf,7/10/13,4,,,,1,,
Coupeville Wharf,7/16/13,1,,,,2,,
Coupeville Wharf,7/16/13,2,,,,1,,
Coupeville Wharf,7/16/13,3,,1,,2,,
Coupeville Wharf,7/25/13,1,,,,2,,
Coupeville Wharf,7/30/13,1,1,1,,1,,
Crescent Harbor,6/29/09,1,1,1,1,,,
Crescent Harbor,7/6/09,2,,,,1,,
Crescent Harbor,7/20/09,3,,1,,,,
Crescent Harbor,7/27/09,2,2,1,,,,
Crescent Harbor,8/3/09,3,1,,,,,
Crescent Harbor,7/5/08,3,,1,,,,
Crescent Harbor,7/5/08,5,1,,,,,
Crescent Harbor,7/14/08,3,2,,,,,
Crescent Harbor,7/14/08,5,1,,,,,
Crescent Harbor,7/19/08,3,1,,,,,
Crescent Harbor,7/19/08,8,1,,,,,
Crescent Harbor,7/30/08,2,,1,,,,
Crescent Harbor,7/30/08,3,,1,,,,
Double Bluff South,7/1/10,C3,,,,2,,
Double Bluff South,7/1/10,C4,,,,3,,
Double Bluff South,7/1/10,C5,,,,2,,
Double Bluff South,7/1/10,D1,,,,3,,
Double Bluff South,7/1/10,D2,,,,2,,
Double Bluff South,7/1/10,D3,,,,3,,
Double Bluff South,7/1/10,D4,,,,2,,
Double Bluff South,7/1/10,D5,,,,1,,
Double Bluff South,7/1/10,D6,,,,1,,
Double Bluff South,7/1/10,D7,,,,2,,
Double Bluff South,7/1/10,A1,,,,3,,
Double Bluff South,7/1/10,A2,,,,2,,
Double Bluff South,7/1/10,A3,,,,1,,
Double Bluff South,7/1/10,B1,1,,1,1,,
Double Bluff South,7/1/10,B3,,,,1,,
Double Bluff South,7/1/10,B4,,,,2,,
Double Bluff South,7/1/10,B5,,,,1,,
