site,date,name,gun,sculp,other
Rolling Hills,6/29/12,2 or 3,1,,
Rolling Hills,6/29/12,5,1,,
Rolling Hills,6/29/12,4,1,,
Rolling Hills,6/29/12,8,1,,
Rolling Hills,6/29/12,10,1,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,5,1,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,2 or 3,1,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,2 or 3,,,1.00
Rolling Hills,6/29/12,10,,,1.00
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,10,1,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,5,1,,
Rolling Hills,6/29/12,18,1,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,5,1,,
Rolling Hills,6/29/12,4,,,1.00
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,2 or 3,,1,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,2 or 3,,1,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,2 or 3,,,1.00
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,18,,1,
Rolling Hills,6/29/12,10,,1,
Rolling Hills,6/29/12,5,,1,
Rolling Hills,6/29/12,33,,1,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,4,1,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,,,,
Rolling Hills,6/29/12,4,1,,
Rolling Hills,6/29/12,8,1,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,18,1,,
Rolling Hills,7/4/12,33,1,,
Rolling Hills,7/4/12,5,,,1.00
Rolling Hills,7/4/12,18,,1,
Rolling Hills,7/4/12,10,,1,
Rolling Hills,7/4/12,33,1,,
Rolling Hills,7/4/12,4,1,,
Rolling Hills,7/4/12,17,1,,
Rolling Hills,7/4/12,15,1,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,2 or 3,1,,
Rolling Hills,7/4/12,4,1,,
Rolling Hills,7/4/12,10,1,,
Rolling Hills,7/4/12,8,1,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,4,1,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,8,1,,
Rolling Hills,7/4/12,5,1,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,8,1,,
Rolling Hills,7/4/12,2 or 3,,1,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,15,,1,
Rolling Hills,7/4/12,18,,1,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,5,1,,
Rolling Hills,7/4/12,5,1,,
Rolling Hills,7/4/12,8,1,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,5,1,,
Rolling Hills,7/4/12,10,1,,
Rolling Hills,7/4/12,10,1,,
Rolling Hills,7/4/12,2 or 3,,1,
Rolling Hills,7/4/12,,,,
Rolling Hills,7/4/12,17,1,,
Rolling Hills,7/4/12,5,,1,
Rolling Hills,7/11/12,,,,
Rolling Hills,7/11/12,11,,1,
Rolling Hills,7/11/12,,,,
Rolling Hills,7/11/12,18,1,,
Rolling Hills,7/11/12,15,1,,
Rolling Hills,7/11/12,15,1,,
Rolling Hills,7/11/12,18,,1,
Rolling Hills,7/11/12,5,1,,
Rolling Hills,7/11/12,17,,,1.00
Rolling Hills,7/11/12,15,,1,
Rolling Hills,7/11/12,,,,
Rolling Hills,7/11/12,,,,
Rolling Hills,7/11/12,3,,,1.00
Rolling Hills,7/11/12,18,1,,
