"site","year","date","PG_count","burrow_name","burrow_count","burrow_visits_day","burrow_visit","Gunnel","Sculpin","Other","tot_prey","week_year","week_study","intern_data"
"Bush Point Dock","2016",2016-06-06,2,NA,0,0,NA,NA,NA,NA,NA,23,2,""
"Bush Point Dock","2016",2016-06-14,3,NA,0,0,NA,NA,NA,NA,NA,24,3,""
"Bush Point Dock","2016",2016-06-20,6,NA,0,0,NA,NA,NA,NA,NA,25,4,""
"Bush Point Dock","2016",2016-06-27,2,NA,0,0,NA,NA,NA,NA,NA,26,5,""
"Bush Point Dock","2016",2016-07-07,3,NA,1,2,NA,NA,NA,NA,NA,27,6,""
"Bush Point Dock","2016",2016-07-14,2,NA,1,1,NA,NA,NA,NA,NA,28,7,""
"Bush Point Dock","2016",2016-07-21,4,NA,1,2,NA,NA,NA,NA,NA,29,8,""
"Bush Point Dock","2016",2016-07-28,5,NA,1,2,NA,NA,NA,NA,NA,30,9,""
"Bush Point Dock","2016",2016-08-04,3,NA,1,3,NA,NA,NA,NA,NA,31,10,""
"Bush Point Dock","2016",2016-08-12,6,NA,1,1,NA,NA,NA,NA,NA,32,11,""
"Bush Point Dock","2016",2016-08-19,3,NA,1,3,NA,NA,NA,NA,NA,33,12,""
"Bush Point Dock","2016",2016-08-26,3,NA,1,2,NA,NA,NA,NA,NA,34,13,""
"Bush Point Dock","2016",2016-09-02,0,NA,1,0,NA,NA,NA,NA,NA,35,14,""
"Bush Point Dock","2017",2017-06-15,6,NA,0,0,NA,NA,NA,NA,NA,24,3,""
"Bush Point Dock","2017",2017-06-22,10,NA,0,0,NA,NA,NA,NA,NA,25,4,""
"Bush Point Dock","2017",2017-06-29,3,NA,0,0,NA,NA,NA,NA,NA,26,5,""
"Bush Point Dock","2017",2017-07-06,3,NA,0,0,NA,NA,NA,NA,NA,27,6,""
"Bush Point Dock","2017",2017-07-13,7,NA,0,0,NA,NA,NA,NA,NA,28,7,""
"Bush Point Dock","2017",2017-07-20,3,NA,1,4,NA,NA,NA,NA,NA,29,8,""
"Bush Point Dock","2017",2017-07-27,4,NA,1,3,NA,NA,NA,NA,NA,30,9,""
"Bush Point Dock","2017",2017-08-03,3,NA,1,2,NA,NA,NA,NA,NA,31,10,""
"Bush Point Dock","2017",2017-08-17,6,NA,0,0,NA,NA,NA,NA,NA,33,12,""
"Bush Point Dock","2017",2017-08-24,3,NA,1,2,NA,NA,NA,NA,NA,34,13,""
"Bush Point Dock","2017",2017-08-31,1,NA,0,0,NA,NA,NA,NA,NA,35,14,""
"Cliffside","2008",2008-06-23,47,"3",3,0,1,0,0,0,0,26,5,""
"Cliffside","2008",2008-06-23,47,"2",3,0,1,0,0,0,0,26,5,""
"Cliffside","2008",2008-06-23,47,"1",3,0,0,1,0,0,1,26,5,""
"Cliffside","2008",2008-06-30,6,"5",6,0,0,1,0,0,1,27,6,""
"Cliffside","2008",2008-06-30,6,"6",6,0,0,1,0,0,1,27,6,""
"Cliffside","2008",2008-06-30,6,"2",6,0,1,0,0,0,0,27,6,""
"Cliffside","2008",2008-06-30,6,"4",6,0,1,0,0,0,0,27,6,""
"Cliffside","2008",2008-06-30,6,"1",6,0,0,2,0,0,2,27,6,""
"Cliffside","2008",2008-07-07,41,"7",7,0,1,0,0,0,0,28,7,""
"Cliffside","2008",2008-07-07,41,"1",7,0,0,0,0,1,1,28,7,""
"Cliffside","2008",2008-07-07,41,"9",7,0,1,0,0,0,0,28,7,""
"Cliffside","2008",2008-07-07,41,"5",7,0,0,1,0,0,1,28,7,""
"Cliffside","2008",2008-07-07,41,"8",7,0,0,1,0,0,1,28,7,""
"Cliffside","2008",2008-07-07,41,"10",7,0,0,1,0,0,1,28,7,""
"Cliffside","2008",2008-07-07,41,"3",7,0,2,1,0,0,1,28,7,""
"Cliffside","2008",2008-07-11,18,"5",11,0,0,1,0,0,1,28,7,""
"Cliffside","2008",2008-07-11,18,"4",11,0,0,1,0,0,1,28,7,""
"Cliffside","2008",2008-07-11,18,"2",11,0,0,1,0,0,1,28,7,""
"Cliffside","2008",2008-07-11,18,"11",11,0,0,1,0,0,1,28,7,""
"Cliffside","2008",2008-07-11,18,"3",11,0,0,2,0,0,2,28,7,""
"Cliffside","2008",2008-07-21,51,NA,11,0,NA,NA,NA,NA,NA,30,9,""
"Cliffside","2008",2008-07-28,6,NA,11,0,NA,NA,NA,NA,NA,31,10,""
"Cliffside","2008",2008-08-04,23,NA,0,0,NA,NA,NA,NA,NA,32,11,""
"Cliffside","2009",2009-06-28,35,"7",9,0,1,0,0,0,0,26,5,""
"Cliffside","2009",2009-06-28,35,"3",9,0,0,1,0,0,1,26,5,""
"Cliffside","2009",2009-06-28,35,"6",9,0,1,1,0,0,1,26,5,""
"Cliffside","2009",2009-06-28,35,"4",9,0,1,1,1,0,2,26,5,""
"Cliffside","2009",2009-06-28,35,"5",9,0,1,0,0,0,0,26,5,""
"Cliffside","2009",2009-07-06,10,"11",11,0,0,1,0,0,1,28,7,""
"Cliffside","2009",2009-07-06,10,"3",11,0,1,0,0,0,0,28,7,""
"Cliffside","2009",2009-07-06,10,"6",11,0,0,2,0,0,2,28,7,""
"Cliffside","2009",2009-07-06,10,"1",11,0,0,0,0,1,1,28,7,""
"Cliffside","2009",2009-07-06,10,"10",11,0,0,1,0,0,1,28,7,""
"Cliffside","2009",2009-07-06,10,"9",11,0,0,1,0,0,1,28,7,""
"Cliffside","2009",2009-07-06,10,"5",11,0,0,1,0,0,1,28,7,""
"Cliffside","2009",2009-07-13,41,"8",13,0,2,0,0,0,0,29,8,""
"Cliffside","2009",2009-07-13,41,"7",13,0,1,1,0,0,1,29,8,""
"Cliffside","2009",2009-07-13,41,"2",13,0,2,0,0,0,0,29,8,""
"Cliffside","2009",2009-07-13,41,"10",13,0,4,1,0,0,1,29,8,""
"Cliffside","2009",2009-07-13,41,"12",13,0,2,0,0,0,0,29,8,""
"Cliffside","2009",2009-07-13,41,"4",13,0,1,2,0,0,2,29,8,""
"Cliffside","2009",2009-07-13,41,"6",13,0,2,2,0,0,2,29,8,""
"Cliffside","2009",2009-07-13,41,"11",13,0,1,1,0,0,1,29,8,""
"Cliffside","2009",2009-07-13,41,"9",13,0,2,1,0,0,1,29,8,""
"Cliffside","2009",2009-07-13,41,"5",13,0,2,2,0,0,2,29,8,""
"Cliffside","2009",2009-07-13,41,"13",13,0,2,0,0,0,0,29,8,""
"Cliffside","2009",2009-07-13,41,"1",13,0,1,1,0,0,1,29,8,""
"Cliffside","2009",2009-07-13,41,"3",13,0,2,3,0,0,3,29,8,""
"Cliffside","2009",2009-07-21,30,"3",13,0,1,0,0,0,0,30,9,""
"Cliffside","2009",2009-07-21,30,"10",13,0,1,1,0,0,1,30,9,""
"Cliffside","2009",2009-08-05,18,"12",13,0,1,1,0,0,1,32,11,""
"Cliffside","2009",2009-08-05,18,"2",13,0,1,1,0,0,1,32,11,""
"Cliffside","2009",2009-08-05,18,"7",13,0,0,1,0,0,1,32,11,""
"Cliffside","2009",2009-08-05,18,"1",13,0,1,1,0,0,1,32,11,""
"Cliffside","2009",2009-08-05,18,"4",13,0,0,1,0,0,1,32,11,""
"Cliffside","2009",2009-08-11,48,"8",13,0,0,1,0,0,1,33,12,""
"Cliffside","2009",2009-08-17,0,NA,0,0,NA,NA,NA,NA,NA,34,13,""
"Cliffside","2010",2010-06-28,10,"1",6,1,1,0,0,0,0,26,5,""
"Cliffside","2010",2010-07-03,23,"1",6,0,0,1,0,0,1,26,5,""
"Cliffside","2010",2010-07-03,23,"6",6,0,0,2,0,0,2,26,5,""
"Cliffside","2010",2010-07-03,23,"5",6,0,0,1,0,0,1,26,5,""
"Cliffside","2010",2010-07-05,38,"1",6,0,0,1,0,0,1,27,6,""
"Cliffside","2010",2010-07-05,38,"3",6,0,0,1,0,0,1,27,6,""
"Cliffside","2010",2010-07-13,2,NA,6,0,NA,NA,NA,NA,NA,28,7,""
"Cliffside","2010",2010-07-21,1,"6",0,0,0,1,0,0,1,29,8,""
"Cliffside","2011",2011-06-28,23,"6",3,3,1,0,0,0,0,26,5,""
"Cliffside","2011",2011-06-28,23,"2",3,3,1,0,0,0,0,26,5,""
"Cliffside","2011",2011-06-28,23,"1",3,3,1,0,0,0,0,26,5,""
"Cliffside","2011",2011-07-06,18,"4",5,5,1,0,0,0,0,27,6,""
"Cliffside","2011",2011-07-06,18,"2",5,5,1,0,0,0,0,27,6,""
"Cliffside","2011",2011-07-06,18,"6",5,5,1,0,0,0,0,27,6,""
"Cliffside","2011",2011-07-06,18,"3",5,5,1,0,0,0,0,27,6,""
"Cliffside","2011",2011-07-06,18,"1",5,5,1,0,0,0,0,27,6,""
"Cliffside","2011",2011-07-12,23,NA,0,0,NA,NA,NA,NA,NA,28,7,""
"Cliffside","2011",2011-07-18,15,"1",5,0,0,0,1,0,1,29,8,""
"Cliffside","2011",2011-07-29,5,NA,5,0,NA,NA,NA,NA,NA,30,9,""
"Cliffside","2011",2011-08-03,33,"2",7,8,2,2,0,1,3,31,10,""
"Cliffside","2011",2011-08-03,33,"6",7,8,0,2,0,2,4,31,10,""
"Cliffside","2011",2011-08-03,33,"3",7,8,0,2,0,1,3,31,10,""
"Cliffside","2011",2011-08-03,33,"1",7,8,2,1,0,0,1,31,10,""
"Cliffside","2011",2011-08-03,33,"5",7,8,0,2,0,2,4,31,10,""
"Cliffside","2011",2011-08-03,33,"7",7,8,0,2,0,0,2,31,10,""
"Cliffside","2011",2011-08-03,33,"4",7,8,0,4,0,0,4,31,10,""
"Cliffside","2011",2011-08-11,12,NA,7,0,NA,NA,NA,NA,NA,32,11,""
"Cliffside","2011",2011-08-15,22,"4",7,2,2,0,0,1,1,33,12,""
"Cliffside","2012",2012-06-25,23,NA,0,0,NA,NA,NA,NA,NA,26,5,""
"Cliffside","2012",2012-07-02,9,"2",2,2,1,0,0,0,0,27,6,""
"Cliffside","2012",2012-07-02,9,"1",2,2,1,0,0,0,0,27,6,""
"Cliffside","2012",2012-07-09,29,"3",3,3,1,0,0,0,0,28,7,""
"Cliffside","2012",2012-07-09,29,"2",3,3,1,0,0,0,0,28,7,""
"Cliffside","2012",2012-07-16,6,"2",3,2,1,0,0,0,0,29,8,""
"Cliffside","2012",2012-07-16,6,"3",3,2,1,0,0,0,0,29,8,""
"Cliffside","2012",2012-07-23,21,"4",4,0,0,1,0,0,1,30,9,""
"Cliffside","2012",2012-07-31,1,NA,4,0,NA,NA,NA,NA,NA,31,10,""
"Cliffside","2012",2012-08-06,29,"5",7,3,1,0,0,0,0,32,11,""
"Cliffside","2012",2012-08-06,29,"6",7,3,1,0,0,0,0,32,11,""
"Cliffside","2012",2012-08-06,29,"7",7,3,1,0,0,0,0,32,11,""
"Cliffside","2012",2012-08-14,6,"4",7,0,0,2,0,0,2,33,12,""
"Cliffside","2012",2012-08-21,11,NA,7,0,NA,NA,NA,NA,NA,34,13,""
"Cliffside","2012",2012-08-27,0,NA,7,0,NA,NA,NA,NA,NA,35,14,""
"Cliffside","2013",2013-06-25,15,"1",1,2,2,0,0,0,0,26,5,""
"Cliffside","2013",2013-07-02,14,"1",1,1,1,0,0,0,0,27,6,""
"Cliffside","2013",2013-07-10,7,"1",1,1,1,0,0,0,0,28,7,""
"Cliffside","2013",2013-07-15,17,"2",3,3,1,0,0,0,0,29,8,""
"Cliffside","2013",2013-07-15,17,"3",3,3,2,0,0,0,0,29,8,""
"Cliffside","2013",2013-07-22,7,"4",6,4,2,0,0,0,0,30,9,""
"Cliffside","2013",2013-07-22,7,"6",6,4,1,1,0,0,1,30,9,""
"Cliffside","2013",2013-07-22,7,"5",6,4,1,0,0,0,0,30,9,""
"Cliffside","2013",2013-07-29,21,"3",6,8,1,0,0,0,0,31,10,""
"Cliffside","2013",2013-07-29,21,"5",6,8,3,0,0,0,0,31,10,""
"Cliffside","2013",2013-07-29,21,"2",6,8,1,1,0,0,1,31,10,""
"Cliffside","2013",2013-07-29,21,"6",6,8,2,1,0,0,1,31,10,""
"Cliffside","2013",2013-07-29,21,"4",6,8,1,1,0,0,1,31,10,""
"Cliffside","2013",2013-08-09,26,"7",8,7,1,1,0,0,1,32,11,""
