region,site,date,start_time,end_time,PG_count,burrow_count,burrow_visit,intern_data,qaqc,mult_count
Whidbey,Bush Point Dock,6/6/16,,,2,0,0,,,
Whidbey,Bush Point Dock,6/14/16,,,3,0,0,,,
Whidbey,Bush Point Dock,6/20/16,,,6,0,0,,,
Whidbey,Bush Point Dock,6/27/16,,,2,0,0,,,
Whidbey,Bush Point Dock,7/7/16,,,3,1,2,,,
Whidbey,Bush Point Dock,7/14/16,,,2,1,1,,,
Whidbey,Bush Point Dock,7/21/16,,,4,1,2,,,
Whidbey,Bush Point Dock,7/28/16,,,5,1,2,,,
Whidbey,Bush Point Dock,8/4/16,,,3,1,3,,,
Whidbey,Bush Point Dock,8/12/16,,,6,1,1,,,
Whidbey,Bush Point Dock,8/19/16,,,3,1,3,,,
Whidbey,Bush Point Dock,8/26/16,,,3,1,2,,,
Whidbey,Bush Point Dock,9/2/16,,,0,1,0,,,
Whidbey,Bush Point Dock,6/15/17,,,6,0,0,,,
Whidbey,Bush Point Dock,6/22/17,,,10,0,0,,,
Whidbey,Bush Point Dock,6/29/17,,,3,0,0,,,
Whidbey,Bush Point Dock,7/6/17,,,3,0,0,,,
Whidbey,Bush Point Dock,7/13/17,,,7,0,0,,,
Whidbey,Bush Point Dock,7/20/17,,,3,1,4,,,
Whidbey,Bush Point Dock,7/27/17,,,4,1,3,,,
Whidbey,Bush Point Dock,8/3/17,,,3,1,2,,,
Whidbey,Bush Point Dock,8/17/17,,,6,0,0,,,
Whidbey,Bush Point Dock,8/24/17,,,3,1,2,,,
Whidbey,Bush Point Dock,8/31/17,,,1,0,0,,,
Whidbey,Cliffside,6/13/17,,,29,0,0,Y,,Y
Whidbey,Cliffside,6/15/17,,,26,0,0,Y,,Y
Whidbey,Cliffside,6/19/17,,,21,0,0,Y,,Y
Whidbey,Cliffside,6/21/17,,,13,0,0,Y,,Y
Whidbey,Cliffside,6/23/17,,,32,1,2,Y,,Y
Whidbey,Cliffside,6/27/17,,,42,1,2,Y,,Y
Whidbey,Cliffside,6/29/17,,,35,1,2,Y,,Y
Whidbey,Cliffside,7/3/17,,,11,1,3,Y,,Y
Whidbey,Cliffside,7/5/17,,,28,1,1,Y,,Y
Whidbey,Cliffside,7/7/17,,,12,1,1,Y,,Y
Whidbey,Cliffside,7/11/17,,,27,3,6,Y,,Y
Whidbey,Cliffside,7/13/17,,,31,2,4,Y,,Y
Whidbey,Cliffside,7/17/17,,,33,3,8,Y,,Y
Whidbey,Cliffside,7/19/17,,,18,2,3,Y,,Y
Whidbey,Cliffside,7/21/17,,,28,3,3,Y,,Y
Whidbey,Cliffside,7/25/17,,,39,4,14,Y,,Y
Whidbey,Cliffside,7/27/17,,,35,3,8,Y,,Y
Whidbey,Cliffside,7/31/17,,,31,4,9,Y,,Y
Whidbey,Cliffside,8/2/17,,,24,4,9,Y,,Y
Whidbey,Cliffside,8/4/17,,,28,11,6,Y,,Y
Whidbey,Cliffside,8/8/17,,,27,4,17,Y,,Y
Whidbey,Cliffside,8/10/17,,,42,2,8,Y,,Y
Whidbey,Cliffside,8/14/17,,,38,2,15,Y,,Y
Whidbey,Cliffside,8/16/17,,,35,2,7,Y,,Y
Whidbey,Cliffside,8/18/17,,,29,2,4,Y,,Y
Whidbey,Cliffside,8/28/17,,,3,1,5,Y,,Y
Whidbey,Cliffside,6/16/14,8:00,9:00,39,3,3,,,
Whidbey,Cliffside,6/23/14,7:30,8:30,13,3,,,,
Whidbey,Cliffside,6/30/14,7:45,8:45,6,4,4,,,
Whidbey,Cliffside,7/7/14,7:10,8:10,14,6,5,,,
Whidbey,Cliffside,7/14/14,7:40,8:40,15,6,6,,,
Whidbey,Cliffside,7/21/14,7:30,8:30,16,7,7,,,
Whidbey,Cliffside,7/28/14,7:45,8:45,12,7,,,,
Whidbey,Cliffside,8/4/14,7:10,8:10,5,7,,,,
Whidbey,Cliffside,8/11/14,7:25,8:25,13,7,,,,
