region,site,date,start_time,PG_count,count_type,intern_data
Whidbey,Cliffside,6/16/14,8:00,39,pg,
Whidbey,Cliffside,6/23/14,7:30,13,pg,
Whidbey,Cliffside,6/30/14,7:45,6,pg,
Whidbey,Cliffside,7/7/14,7:10,14,pg,
Whidbey,Cliffside,7/14/14,7:40,15,pg,
Whidbey,Cliffside,7/21/14,7:30,16,pg,
Whidbey,Cliffside,7/28/14,7:45,12,pg,
Whidbey,Cliffside,8/4/14,7:10,5,pg,
Whidbey,Cliffside,8/11/14,7:25,13,pg,
Whidbey,Cliffside,8/18/14,7:10,4,pg,
Whidbey,Cliffside,8/26/14,7:45,0,pg,
Whidbey,Cliffside,6/28/10,8:00,10,pg,
Whidbey,Cliffside,7/3/10,8:15,23,pg,
Whidbey,Cliffside,7/5/10,8:15,38,pg,
Whidbey,Cliffside,7/13/10,10:00,2,pg,
Whidbey,Cliffside,7/21/10,8:30,1,pg,
Whidbey,Cliffside,6/28/11,7:40,23,pg,
Whidbey,Cliffside,7/6/11,8:05,18,pg,
Whidbey,Cliffside,7/12/11,8:30,23,pg,
Whidbey,Cliffside,7/18/11,8:10,15,pg,
Whidbey,Cliffside,7/29/11,8:00,5,pg,
Whidbey,Cliffside,8/3/11,8:00,33,pg,
Whidbey,Cliffside,8/11/11,7:45,12,pg,
Whidbey,Cliffside,8/15/11,8:00,22,pg,
Whidbey,Cliffside,6/25/12,7:30,23,pg,
Whidbey,Cliffside,7/2/12,7:30,9,pg,
Whidbey,Cliffside,7/9/12,7:00,29,pg,
Whidbey,Cliffside,7/16/12,7:45,6,pg,
Whidbey,Cliffside,7/23/12,8:00,21,pg,
Whidbey,Cliffside,7/31/12,7:20,1,pg,
Whidbey,Cliffside,8/6/12,7:20,29,pg,
Whidbey,Cliffside,8/14/12,7:45,6,pg,
Whidbey,Cliffside,8/21/12,7:30,11,pg,
Whidbey,Cliffside,8/27/12,7:35,0,pg,
Whidbey,Cliffside,6/25/13,7:30,15,pg,
Whidbey,Cliffside,7/2/13,7:45,14,pg,
Whidbey,Cliffside,7/10/13,7:10,7,pg,
Whidbey,Cliffside,7/15/13,7:10,17,pg,
Whidbey,Cliffside,7/22/13,7:20,7,pg,
Whidbey,Cliffside,7/29/13,7:30,21,pg,
Whidbey,Cliffside,8/9/13,7:45,26,pg,
Whidbey,Cliffside,8/12/13,7:30,29,pg,
Whidbey,Cliffside,8/19/13,7:40,11,pg,
