site,ymd,start_time,pg_count,count_type,internOnly,week,site_id,visit_id
Burfoot Park,6/15/15,7:45,11,pg,,25,6,10
Young's Cove B,8/10/15,7:00,5,pg,,33,21,100
Young's Cove C,6/8/15,8:00,4,pg,,24,22,102
Young's Cove C,6/24/15,8:00,7,pg,,26,22,104
Young's Cove C,7/2/15,7:45,4,pg,,27,22,105
Big Fish Trap,6/11/15,8:00,4,pg,,24,5,106
Big Fish Trap,6/18/15,8:05,5,pg,,25,5,107
Big Fish Trap,7/2/15,7:50,5,pg,,27,5,108
Big Fish Trap,7/9/15,7:40,7,pg,,28,5,109
Burfoot Park,6/29/15,7:46,18,pg,,27,6,11
Big Fish Trap,7/16/15,7:40,17,pg,,29,5,110
Big Fish Trap,7/23/15,7:40,7,pg,,30,5,111
Big Fish Trap,8/6/15,7:25,4,pg,,32,5,112
Big Fish Trap,8/20/15,7:15,2,pg,,34,5,113
Young's Cove C,7/11/15,7:50,1,pg,,28,22,114
Young's Cove C,7/16/15,8:00,10,pg,,29,22,115
Young's Cove C,7/25/15,,5,pg,,30,22,116
Young's Cove C,7/30/15,,7,pg,,31,22,117
Young's Cove C,8/6/15,,6,pg,,32,22,118
Young's Cove C,8/11/15,,3,pg,,33,22,119
Burfoot Park,7/6/15,7:45,15,pg,,28,6,12
Young's Cove D,6/8/15,7:30,6,pg,,24,23,120
Young's Cove D,6/17/15,7:15,7,pg,,25,23,121
Young's Cove D,6/22/15,8:00,5,pg,,26,23,122
Young's Cove D,6/29/15,7:55,4,pg,,27,23,123
Young's Cove D,7/6/15,7:20,3,pg,,28,23,124
Young's Cove D,7/13/15,7:30,3,pg,,29,23,125
Young's Cove D,7/20/15,6:40,4,pg,,30,23,126
Young's Cove D,7/27/15,7:58,3,pg,,31,23,127
Higgins Cove,6/11/15,6,2,pg,,24,7,128
Higgins Cove,6/18/15,6:05,5,pg,,25,7,129
Burfoot Park,7/13/15,7:45,14,pg,,29,6,13
Higgins Cove,6/26/15,7:26,2,pg,,26,7,130
Higgins Cove,7/2/15,6:40,5,pg,,27,7,131
Higgins Cove,7/16/15,6:35,8,pg,,29,7,132
Higgins Cove,7/23/15,6:35,9,pg,,30,7,133
Higgins Cove,7/30/15,6:30,13,pg,,31,7,134
Higgins Cove,7/9/15,6:30,9,pg,,28,7,135
Higgins Cove,8/7/15,6:35,8,pg,,32,7,136
Higgins Cove,8/13/15,6:30,6,pg,,33,7,137
Higgins Cove,8/19/15,6:30,5,pg,,34,7,138
Amsterdam Bay,6/16/15,800,10,pg,,25,16,139
Burfoot Park,7/20/15,7:45,16,pg,,30,6,14
Young's Cove D,8/7/15,7:45,1,pg,,32,23,140
Young's Cove D,8/10/15,7:45,1,pg,,33,23,141
Cole Pt,6/11/15,7:25,12,pg,,24,19,142
Cole Pt,6/17/15,7:25,3,pg,,25,19,144
Young's Cove D,8/19/15,7:20,1,pg,,34,23,145
Amsterdam Bay,6/23/15,800,2,pg,,26,16,146
Cole Pt,6/23/15,7:22,5,pg,,26,19,147
Amsterdam Bay,6/30/15,800,8,pg,,27,16,148
Amsterdam Bay,6/8/15,800,10,pg,,24,16,149
Burfoot Park,7/29/15,7:49,15,pg,,31,6,15
Beachcrest,7/4/15,,12,pg,,27,12,150
Young's Cove E,6/8/15,6:48,2,pg,,24,24,151
Amsterdam Bay,7/2/15,800,10,pg,,27,16,152
Cole Pt,7/2/15,7:45,9,pg,,27,19,153
Young's Cove E,6/19/15,7:15,10,pg,,25,24,154
Beachcrest,7/7/15,6:20,15,pg,,28,12,155
Cole Pt,7/6/15,7:35,10,pg,,28,19,156
Amsterdam Bay,7/21/15,800,10,pg,,30,16,157
Young's Cove E,6/26/15,5:15,10,pg,,26,24,158
Amsterdam Bay,7/29/15,800,6,pg,,31,16,159
Burfoot Park,8/3/15,7:45,14,pg,,32,6,16
Beachcrest,7/13/15,7:50,15,pg,,29,12,160
Amsterdam Bay,7/9/15,800,10,pg,,28,16,161
Cole Pt,7/16/15,8:00,13,pg,,29,19,162
Young's Cove E,7/4/15,5:30,8,pg,,27,24,163
Beachcrest,7/24/15,,8,pg,,30,12,164
Cole Pt,7/24/15,7:30,9,pg,,30,19,165
Beachcrest,7/28/15,7:00,16,pg,,31,12,166
Young's Cove E,7/19/15,5:30,13,pg,,29,24,167
Amsterdam Bay,8/4/15,800,6,pg,,32,16,168
Amsterdam Bay,8/9/15,800,7,pg,,32,16,169
Burfoot Park,8/10/15,7:40,3,pg,,33,6,17
Cole Pt,7/28/15,7:35,12,pg,,31,19,170
Cole Pt,8/5/15,745,12,pg,,32,19,171
Young's Cove E,8/5/15,8:00,8,pg,,32,24,172
Cole Pt,8/11/15,7:35,4,pg,,33,19,173
Beachcrest,8/4/15,6:45,10,pg,,32,12,174
Young's Cove E,8/11/15,7:45,11,pg,,33,24,175
Young's Cove E,8/20/15,7:00,5,pg,,34,24,176
Young's Cove E,8/25/15,7:00,4,pg,,35,24,177
Compass Rock,6/27/15,8:00,2,pg,,26,18,178
Mill Bight A,6/12/15,7:30,4,pg,,24,30,179
Burfoot Park,8/17/15,7:40,1,pg,,34,6,18
Mill Bight A,6/16/15,7:45,7,pg,,25,30,180
Mill Bight A,6/26/15,7:15,7,pg,,26,30,181
Mill Bight A,7/2/15,7:50,3,pg,,27,30,182
Compass Rock,7/7/15,8:00,7,pg,,28,18,183
Compass Rock,7/17/15,8:00,6,pg,,29,18,184
Compass Rock,7/22/15,8:00,4,pg,,30,18,185
Compass Rock,7/31/15,8:00,4,pg,,31,18,186
Compass Rock,8/5/15,8:00,4,pg,,32,18,187
Andy's Marine Park West,6/9/15,6:00,6,pg,,24,17,189
Andy's Marine Park West,6/27/15,8:00,18,pg,,26,17,191
Andy's Marine Park West,7/11/15,7:20,23,pg,,28,17,192
Andy's Marine Park West,7/18/15,730,7,pg,,29,17,193
Andy's Marine Park West,7/25/15,7:05,15,pg,,30,17,194
Andy's Marine Park West,8/8/15,8:00,1,pg,,32,17,195
Beachcrest,6/22/15,6:40,13,pg,,26,12,196
Lyle Point,8/27/15,7:50,2,pg,,35,8,198
Ketron SW,6/8/15,8,3,pg,,24,15,199
