siteName,visitId,ymd,week,internOnly,burrow,prey,visits
Swantown,374,6/7/16,23,,b.1,noprey,1
Swantown,374,6/7/16,23,,b.2,noprey,1
Harrington South,376,6/7/16,23,,b.1,noprey,1
Harrington South,376,6/7/16,23,,b.2,noprey,1
Malmo Bluff,377,6/9/16,23,,b.22,noprey,2
Lagoon North #1,378,6/6/16,23,,b.1A,noprey,1
Lagoon North #1,378,6/6/16,23,,b.4,noprey,1
Lagoon North #1,378,6/6/16,23,,b.1,noprey,1
Lagoon North #1,378,6/6/16,23,,b.5,noprey,1
Shore Meadows,379,6/10/16,23,,b.1,noprey,1
Shore Meadows,379,6/10/16,23,,b.31,noprey,1
Langley Marina,386,6/8/16,23,,b.2,noprey,1
Langley Marina,386,6/8/16,23,,b.1,noprey,1
Lagoon Point South,392,6/9/16,23,,b.1-A,noprey,1
Lagoon Point South,392,6/9/16,23,,b.1-B,noprey,1
Lagoon Point South,392,6/9/16,23,,b.1-C,noprey,1
Lagoon Point South,392,6/9/16,23,,b.1-D,noprey,1
Lagoon Point South,392,6/9/16,23,,b.3-A,noprey,3
Lagoon Point South,392,6/9/16,23,,b.3-B,noprey,2
Lagoon Point South,392,6/9/16,23,,b.3-C,noprey,1
Lagoon Point South,392,6/9/16,23,,b.3-D,noprey,3
Lagoon Point South,392,6/9/16,23,,b.3-E,noprey,1
Lagoon Point South,392,6/9/16,23,,b.3-F,noprey,1
Lagoon Point South,392,6/9/16,23,,b.4A,noprey,2
Lagoon Point South,392,6/9/16,23,,b.4B,noprey,2
Lagoon Point South,392,6/9/16,23,,b.4C,noprey,1
Lagoon Point South,392,6/9/16,23,,b.4D,noprey,2
Lake Hancock North,394,6/7/16,23,,b.2,noprey,4
Lake Hancock North,394,6/7/16,23,,b.12,noprey,2
Lake Hancock North,394,6/7/16,23,,b.15,noprey,1
Lake Hancock North,394,6/7/16,23,,b.S4,noprey,1
Lake Hancock North,394,6/7/16,23,,b.S6,noprey,2
Lake Hancock North,394,6/7/16,23,,b.S7,noprey,1
Fort Casey North,395,6/10/16,23,,b.15,noprey,1
Pratts Bluff,396,6/10/16,23,,b.5,noprey,1
Possession Point,413,6/5/16,22,,b.E1,noprey,2
Rolling Hills #1,414,6/7/16,23,,b.2,noprey,2
Rolling Hills #1,414,6/7/16,23,,b.3,noprey,1
Rolling Hills #1,414,6/7/16,23,,b.4,noprey,6
Rolling Hills #1,414,6/7/16,23,,b.5,noprey,1
Rolling Hills #1,414,6/7/16,23,,b.8,noprey,2
Rolling Hills #1,414,6/7/16,23,,b.8,gunnels,2
Rolling Hills #1,414,6/7/16,23,,b.15,noprey,1
Rolling Hills #1,414,6/7/16,23,,b.18,noprey,4
Rolling Hills #1,414,6/7/16,23,,b.19,gunnels,1
Rolling Hills #1,414,6/7/16,23,,b.25,other,1
Rolling Hills #1,414,6/7/16,23,,b.26,noprey,1
Rolling Hills #1,414,6/7/16,23,,b.32a,noprey,2
Rolling Hills #1,414,6/7/16,23,,b.28,noprey,1
Rolling Hills #1,414,6/7/16,23,,b.28,gunnels,2
Rolling Hills #1,414,6/7/16,23,,b.33,noprey,1
Rolling Hills #1,414,6/7/16,23,,b.9,noprey,2
Rolling Hills #1,415,6/14/16,24,,b.4,noprey,1
