site,ymd,start_time,pg_count,count_type,internOnly,week,site_id,visit_id
Shore Meadows,6/11/18,7:05,63,pg,,24,27,1205
Shore Meadows,6/11/18,7:05,63,pg0,,24,27,1205
Shore Meadows,6/11/18,7:05,34,pg30,,24,27,1205
Shore Meadows,6/11/18,7:05,32,pg60,,24,27,1205
Langley Marina,6/11/18,655,8,pg,,24,43,1207
Langley Marina,6/11/18,655,8,pg0,,24,43,1207
Langley Marina,6/11/18,655,4,pg30,,24,43,1207
Langley Marina,6/11/18,655,5,pg60,,24,43,1207
Lagoon Point South,6/12/18,7:30,39,pg,,24,14,1208
Lagoon Point South,6/12/18,7:30,26,pg0,,24,14,1208
Lagoon Point South,6/12/18,7:30,39,pg30,,24,14,1208
Lagoon Point South,6/12/18,7:30,30,pg60,,24,14,1208
Pratts Bluff,6/13/18,7:45,21,pg,,24,23,1209
Pratts Bluff,6/13/18,7:45,7,pg0,,24,23,1209
Pratts Bluff,6/13/18,7:45,19,pg30,,24,23,1209
Pratts Bluff,6/13/18,7:45,5,pg60,,24,23,1209
Lagoon North #1,6/12/18,8:35,42,pg,,24,11,1211
Lagoon North #1,6/12/18,8:35,42,pg0,,24,11,1211
Lagoon North #1,6/12/18,8:35,36,pg30,,24,11,1211
Lagoon North #1,6/12/18,8:35,32,pg60,,24,11,1211
Lake Hancock North,6/14/18,7:55,70,pg,,24,16,1212
Lake Hancock North,6/14/18,7:55,70,pg0,,24,16,1212
Lake Hancock North,6/14/18,7:55,56,pg30,,24,16,1212
Lake Hancock North,6/14/18,7:55,36,pg60,,24,16,1212
Bush Point Dock,6/14/18,7:45,7,pg,,24,41,1213
Bush Point Dock,6/14/18,7:45,5,pg0,,24,41,1213
Bush Point Dock,6/14/18,7:45,7,pg30,,24,41,1213
Bush Point Dock,6/14/18,7:45,7,pg60,,24,41,1213
Possession Point,6/11/18,8:10,7,pg,,24,22,1214
Possession Point,6/11/18,8:10,6,pg0,,24,22,1214
Possession Point,6/11/18,8:10,6,pg30,,24,22,1214
Possession Point,6/11/18,8:10,5,pg60,,24,22,1214
Harrington South,6/15/18,8:45,12,pg,,24,7,1215
Harrington South,6/15/18,8:45,12,pg0,,24,7,1215
Harrington South,6/15/18,8:45,6,pg30,,24,7,1215
Harrington South,6/15/18,8:45,6,pg60,,24,7,1215
Fort Casey North,6/16/18,8:35,41,pg,,24,33,1217
Fort Casey North,6/16/18,8:35,41,pg0,,24,33,1217
Fort Casey North,6/16/18,8:35,36,pg30,,24,33,1217
Fort Casey North,6/16/18,8:35,24,pg60,,24,33,1217
Coupeville Wharf,6/17/18,7:20,10,pg,,24,29,1218
Coupeville Wharf,6/17/18,7:20,10,pg0,,24,29,1218
Coupeville Wharf,6/17/18,7:20,4,pg30,,24,29,1218
Mutiny Sands,6/15/18,7:30,52,pg,,24,21,1219
Mutiny Sands,6/15/18,7:30,24,pg0,,24,21,1219
Mutiny Sands,6/15/18,7:30,39,pg30,,24,21,1219
Mutiny Sands,6/15/18,7:30,52,pg60,,24,21,1219
Malmo Bluff,6/12/18,7:40,22,pg,,24,18,1220
Malmo Bluff,6/12/18,7:40,22,pg0,,24,18,1220
Malmo Bluff,6/12/18,7:40,10,pg30,,24,18,1220
Malmo Bluff,6/12/18,7:40,14,pg60,,24,18,1220
Monroe Landing,6/11/18,7:35,3,pg,,24,20,1221
Monroe Landing,6/11/18,7:35,3,pg0,,24,20,1221
Monroe Landing,6/11/18,7:35,3,pg30,,24,20,1221
Monroe Landing,6/11/18,7:35,1,pg60,,24,20,1221
Forbes Point,6/16/18,7:20,15,pg,,24,4,1222
Forbes Point,6/16/18,7:20,15,pg0,,24,4,1222
Forbes Point,6/16/18,7:20,13,pg30,,24,4,1222
Forbes Point,6/16/18,7:20,8,pg60,,24,4,1222
Langley Marina,6/18/18,745,4,pg,,25,43,1223
Langley Marina,6/18/18,745,2,pg0,,25,43,1223
Langley Marina,6/18/18,745,1,pg30,,25,43,1223
Langley Marina,6/18/18,745,4,pg60,,25,43,1223
Lagoon Point South,6/19/18,7:30,47,pg,,25,14,1224
Lagoon Point South,6/19/18,7:30,47,pg0,,25,14,1224
Lagoon Point South,6/19/18,7:30,36,pg30,,25,14,1224
Lagoon Point South,6/19/18,7:30,28,pg60,,25,14,1224
Rolling Hills #1,6/19/18,8:17,38,pg,,25,24,1225
Rolling Hills #1,6/19/18,8:17,23,pg0,,25,24,1225
Rolling Hills #1,6/19/18,8:17,30,pg30,,25,24,1225
Rolling Hills #1,6/19/18,8:17,32,pg60,,25,24,1225
Rolling Hills #1,6/12/18,8:12,29,pg,,24,24,1226
Rolling Hills #1,6/12/18,8:12,19,pg0,,24,24,1226
Rolling Hills #1,6/12/18,8:12,25,pg30,,24,24,1226
Rolling Hills #1,6/12/18,8:12,17,pg60,,24,24,1226
Lagoon North #0,6/16/18,8:05,30,pg,,24,13,1227
Lagoon North #0,6/16/18,8:05,24,pg0,,24,13,1227
Lagoon North #0,6/16/18,8:05,30,pg30,,24,13,1227
Lagoon North #0,6/16/18,8:05,28,pg60,,24,13,1227
Malmo Bluff,6/19/18,7:10,36,pg,,25,18,1228
Malmo Bluff,6/19/18,7:10,35,pg0,,25,18,1228
Malmo Bluff,6/19/18,7:10,36,pg30,,25,18,1228
Malmo Bluff,6/19/18,7:10,29,pg60,,25,18,1228
Hastie Lake South,6/16/18,7:10,17,pg,,24,9,1229
Hastie Lake South,6/16/18,7:10,12,pg0,,24,9,1229
Hastie Lake South,6/16/18,7:10,17,pg30,,24,9,1229
Hastie Lake South,6/16/18,7:10,7,pg60,,24,9,1229
Monroe Landing,6/19/18,7:50,8,pg,,25,20,1230
Monroe Landing,6/19/18,7:50,6,pg0,,25,20,1230
Monroe Landing,6/19/18,7:50,8,pg30,,25,20,1230
Monroe Landing,6/19/18,7:50,8,pg60,,25,20,1230
Shore Meadows,6/18/18,7:05,51,pg,,25,27,1231
Shore Meadows,6/18/18,7:05,51,pg0,,25,27,1231
Shore Meadows,6/18/18,7:05,28,pg30,,25,27,1231
Shore Meadows,6/18/18,7:05,37,pg60,,25,27,1231
Hastie Lake South,6/20/18,7:15,39,pg,,25,9,1234
Hastie Lake South,6/20/18,7:15,39,pg0,,25,9,1234
Hastie Lake South,6/20/18,7:15,38,pg30,,25,9,1234
Hastie Lake South,6/20/18,7:15,22,pg60,,25,9,1234
Harrington North,6/14/18,755,8,pg,,24,6,1235
Harrington North,6/14/18,755,5,pg0,,24,6,1235
Harrington North,6/14/18,755,8,pg30,,24,6,1235
Harrington North,6/14/18,755,3,pg60,,24,6,1235
Clinton Ferry Dock,6/13/18,7:33,10,pg,,24,42,1236
Clinton Ferry Dock,6/13/18,7:33,5,pg0,,24,42,1236
Clinton Ferry Dock,6/13/18,7:33,10,pg30,,24,42,1236
Clinton Ferry Dock,6/13/18,7:33,9,pg60,,24,42,1236
Harrington North,6/20/18,745,18,pg,,25,6,1237
Harrington North,6/20/18,745,16,pg0,,25,6,1237
Harrington North,6/20/18,745,11,pg30,,25,6,1237
Harrington North,6/20/18,745,5,pg60,,25,6,1237
Double Bluff North,6/15/18,8:26,27,pg,,24,2,1238
Double Bluff North,6/15/18,8:26,8,pg0,,24,2,1238
Double Bluff North,6/15/18,8:26,8,pg30,,24,2,1238
Double Bluff North,6/15/18,8:26,5,pg60,,24,2,1238
Limpet Lane,6/13/18,735,12,pg,,24,38,1239
Limpet Lane,6/13/18,735,12,pg0,,24,38,1239
Limpet Lane,6/13/18,735,9,pg30,,24,38,1239
Limpet Lane,6/13/18,735,11,pg60,,24,38,1239
Swantown,6/15/18,8:15,12,pg,,24,28,1240
Swantown,6/15/18,8:15,3,pg0,,24,28,1240
Swantown,6/15/18,8:15,12,pg30,,24,28,1240
Swantown,6/15/18,8:15,21,pg60,,24,28,1240
Limpet Lane,6/20/18,735,13,pg,,25,38,1241
Limpet Lane,6/20/18,735,4,pg0,,25,38,1241
Limpet Lane,6/20/18,735,6,pg30,,25,38,1241
Limpet Lane,6/20/18,735,8,pg60,,25,38,1241
Lagoon North #1,6/20/18,7:55,51,pg,,25,11,1242
Lagoon North #1,6/20/18,7:55,51,pg0,,25,11,1242
Lagoon North #1,6/20/18,7:55,36,pg30,,25,11,1242
Lagoon North #1,6/20/18,7:55,43,pg60,,25,11,1242
Lake Hancock North,6/21/18,7:20,75,pg,,25,16,1243
Lake Hancock North,6/21/18,7:20,75,pg0,,25,16,1243
Lake Hancock North,6/21/18,7:20,72,pg30,,25,16,1243
Lake Hancock North,6/21/18,7:20,67,pg60,,25,16,1243
Harrington South,6/22/18,7:45,17,pg,,25,7,1244
Harrington South,6/22/18,7:45,17,pg0,,25,7,1244
Harrington South,6/22/18,7:45,14,pg30,,25,7,1244
Harrington South,6/22/18,7:45,12,pg60,,25,7,1244
Mutiny Sands,6/20/18,7:30,49,pg,,25,21,1245
Mutiny Sands,6/20/18,7:30,41,pg0,,25,21,1245
Mutiny Sands,6/20/18,7:30,46,pg30,,25,21,1245
Mutiny Sands,6/20/18,7:30,49,pg60,,25,21,1245
