site,ymd,start_time,pg_count,count_type,internOnly
Swantown,7/25/17,810,26,pg,
Lagoon Point South,7/27/17,7:15,44,pg,
Forbes Point,7/27/17,708,24,pg,
Limpet Lane,7/28/17,735,31,pg,
Limpet Lane,7/14/17,715,29,pg,
Limpet Lane,7/21/17,735,26,pg,
Shore Meadows,7/26/17,7:20,53,pg,
Clinton Ferry Dock,7/22/17,7:55,7,pg,
Mutiny Sands,7/27/17,7:30,44,pg,
Hastie Lake South,7/25/17,7:35,22,pg,
Keystone,7/30/17,7:56,44,pg,
Clinton Ferry Dock,7/29/17,7:50,5,pg,
Langley Marina,7/31/17,720,6,pg,
Cliffside,7/18/17,820,19,pg,
Cliffside,7/25/17,8:20,22,pg,
Cliffside,6/20/17,8:25,9,pg,
Fort Casey North,7/29/17,8:25,63,pg,
Lagoon North #0,7/27/17,6:55,49,pg,
Possession Point,7/30/17,7:52,19,pg,
Coupeville Wharf,7/30/17,7:56,6,pg,
Pratts Bluff,7/25/17,7:30,19,pg,
Hastie Lake South,8/1/17,7:30,20,pg,
Rolling Hills #1,8/1/17,8:09,29,pg,
Pratts Bluff,7/31/17,7:15,33,pg,
Harrington South,8/1/17,6:20,25,pg,
Lake Hancock North,8/1/17,7:15,65,pg,
Rolling Hills #1 -- INTERN,7/26/17,6:00,30,pg,on
Rolling Hills #1 -- INTERN,7/28/17,6:00,29,pg,on
Rolling Hills #1 -- INTERN,8/1/17,6:00,29,pg,on
Cliffside -- INTERN,7/25/17,6:00,39,pg,on
Cliffside -- INTERN,7/27/17,6:00,35,pg,on
Cliffside -- INTERN,7/31/17,6:00,31,pg,on
Lagoon North #0,8/3/17,7:15,15,pg,
Lagoon Point South,8/3/17,7:15,30,pg,
Mutiny Sands,8/3/17,7:30,18,pg,
Swantown,8/2/17,715,21,pg,
Limpet Lane,8/4/17,735,24,pg,
Lagoon North #1,8/4/17,8:00,49,pg,
Keystone,8/5/17,8:38,34,pg,
Forbes Point,8/3/17,713,3,pg,
Coupeville Wharf,8/6/17,7:40,6,pg,
Shore Meadows,8/3/17,7:25,35,pg,
Rolling Hills #3,7/22/17,7:50,15,pg,
Rolling Hills #3,7/29/17,7:40,8,pg,
Langley Marina,7/11/17,7:02,3,pg,
Harrington North,7/13/17,735,25,pg,
Harrington North,7/26/17,730,20,pg,
Harrington North,8/2/17,745,12,pg,
Swantown,8/7/17,810,4,pg,
Langley Marina,8/8/17,727,7,pg,
Harrington South,8/8/17,6:19,25,pg,
Clinton Ferry Dock,8/5/17,7:55,9,pg,
Malmo Bluff,8/1/17,7:15,39,pg,
Malmo Bluff,8/8/17,7:10,53,pg,
Cliffside -- INTERN,8/2/17,6:00,24,pg,on
Cliffside -- INTERN,8/4/17,6:00,28,pg,on
Cliffside -- INTERN,8/8/17,6:00,27,pg,on
Rolling Hills #1 -- INTERN,8/3/17,6:00,38,pg,on
Rolling Hills #1 -- INTERN,8/7/17,6:00,41,pg,on
Rolling Hills #1 -- INTERN,8/9/17,6:00,23,pg,on
Rolling Hills #1 -- INTERN,8/1/17,6:00,29,pg,on
Shore Meadows,8/9/17,7:25,63,pg,
Hastie Lake South,8/8/17,7:25,6,pg,
Lagoon Point South,8/10/17,7:15,43,pg,
Rolling Hills #1,8/8/17,8:25,42,pg,
Mutiny Sands,8/10/17,7:30,49,pg,
Ledgewood,7/25/17,7:20,38,pg,
Ledgewood,8/2/17,7:45,44,pg,
Ledgewood,8/9/17,7:45,42,pg,
Cliffside,8/1/17,8:25,22,pg,
Cliffside,8/8/17,8:35,15,pg,
Forbes Point,8/11/17,829,20,pg,
Double Bluff North,7/21/17,8:07,62,pg,
Double Bluff North,7/28/17,8:14,74,pg,
Harrington North,8/10/17,755,16,pg,
Double Bluff North,8/4/17,8:14,54,pg,
Double Bluff North,8/11/17,8:07,61,pg,
Double Bluff South,7/20/17,8:00,8,pg,
Double Bluff South,7/27/17,7:35,12,pg,
Double Bluff South,8/3/17,8:00,14,pg,
Double Bluff South,8/10/17,7:55,9,pg,
Fort Casey North,8/5/17,8:25,49,pg,
Fort Casey North,8/12/17,8:25,12,pg,
Lake Hancock North,8/7/17,7:15,58,pg,
Possession Point,8/6/17,7:50,7,pg,
Possession Point,8/12/17,7:50,12,pg,
Lagoon North #1,8/14/17,8:00,5,pg,
Harrington South,8/15/17,6:03,18,pg,
Pratts Bluff,8/8/17,7:20,29,pg,
Pratts Bluff,8/15/17,7:25,23,pg,
Rolling Hills #1,8/15/17,8:15,11,pg,
Hastie Lake South,8/15/17,7:25,4,pg,
Harrington North,8/14/17,725,15,pg,
Langley Marina,8/16/17,717,3,pg,
Malmo Bluff,8/15/17,7:15,36,pg,
Shore Meadows,8/16/17,7:20,32,pg,
Clinton Ferry Dock,8/13/17,7:55,14,pg,
Forbes Point,8/17/17,712,2,pg,
Mutiny Sands,8/17/17,7:30,13,pg,
Lagoon Point South,8/17/17,7:15,19,pg,
Swantown,8/17/17,715,5,pg,
Limpet Lane,8/11/17,720,23,pg,
Limpet Lane,8/18/17,735,8,pg,
Fort Casey North,8/19/17,8:25,2,pg,
Keystone,8/12/17,8:21,41,pg,
Lake Hancock North,8/19/17,8:00,22,pg,
Coupeville Wharf,8/12/17,7:01,8,pg,
Coupeville Wharf,8/20/17,6:55,8,pg,
Langley Marina,8/21/17,710,2,pg,
Cliffside -- INTERN,8/10/17,6:00,42,pg,on
Cliffside -- INTERN,8/14/17,6:00,38,pg,on
Cliffside -- INTERN,8/16/17,6:00,35,pg,on
Cliffside -- INTERN,8/18/17,6:00,29,pg,on
Rolling Hills #1 -- INTERN,8/11/17,6:00,46,pg,on
Rolling Hills #1 -- INTERN,8/15/17,6:00,42,pg,on
Rolling Hills #1 -- INTERN,8/17/17,6:00,32,pg,on
Rolling Hills #1 -- INTERN,8/21/17,6:00,28,pg,on
Keystone,8/20/17,8:21,13,pg,
Malmo Bluff,8/22/17,7:05,40,pg,
Lake Hancock North,8/22/17,7:30,66,pg,
Lagoon Point South,8/24/17,7:15,9,pg,
Swantown,8/22/17,815,9,pg,
Forbes Point,8/24/17,710,2,pg,
Mutiny Sands,8/24/17,7:30,25,pg,
Limpet Lane,8/25/17,733,8,pg,
Hastie Lake South,8/22/17,7:15,9,pg,
Pratts Bluff,8/24/17,8:00,10,pg,
Double Bluff South,8/17/17,8:00,8,pg,
Coupeville Wharf,8/27/17,7:06,2,pg,
Double Bluff North,8/18/17,8:00,33,pg,
Double Bluff North,8/25/17,8:10,26,pg,
Swantown,8/28/17,710,22,pg,
Clinton Ferry Dock,8/19/17,7:45,4,pg,
Cliffside,8/16/17,8:05,15,pg,
Cliffside,8/22/17,8:20,3,pg,
Cliffside,8/29/17,8:30,3,pg,
Ledgewood,8/22/17,7:45,16,pg,
Mutiny Sands,8/31/17,7:50,5,pg,
Cliffside -- INTERN,8/28/17,6:25,3,pg,on
Keystone,9/1/17,8:15,6,pg,
Limpet Lane,9/1/17,7:30,3,pg,
Possession Point,8/20/17,7:50,2,pg,
Bush Point Dock,7/20/17,8:15,3,pg,
Bush Point Dock,7/27/17,8:15,4,pg,
Bush Point Dock,8/3/17,8:15,3,pg,
