siteName,visitId,ymd,week,internOnly,burrow,prey,visits
Swantown,1000,7/25/17,30,,b.3,gunnels,1
Swantown,1000,7/25/17,30,,b.3,other,2
Swantown,1000,7/25/17,30,,b.2,other,1
Lagoon Point South,1001,7/27/17,30,,b.2A,sculpin,1
Lagoon Point South,1001,7/27/17,30,,b.2A,gunnels,1
Forbes Point,1002,7/27/17,30,,b.3,noprey,1
Forbes Point,1002,7/27/17,30,,b.1,noprey,2
Forbes Point,1002,7/27/17,30,,b.1,sculpin,2
Forbes Point,1002,7/27/17,30,,b.1,gunnels,1
Forbes Point,1002,7/27/17,30,,b.1,other,1
Limpet Lane,1003,7/28/17,30,,b.BB,noprey,1
Limpet Lane,1003,7/28/17,30,,b.BB,sculpin,1
Limpet Lane,1003,7/28/17,30,,b.BB,gunnels,1
Limpet Lane,1003,7/28/17,30,,b.BB,other,2
Limpet Lane,1003,7/28/17,30,,b.RT,sculpin,1
Limpet Lane,1003,7/28/17,30,,b.RT,gunnels,5
Limpet Lane,1003,7/28/17,30,,b.MRT,noprey,2
Limpet Lane,1003,7/28/17,30,,b.MRT,sculpin,1
Limpet Lane,1003,7/28/17,30,,b.MRT,gunnels,1
Limpet Lane,1003,7/28/17,30,,b.MRT,other,1
Limpet Lane,1004,7/14/17,28,,b.BB,noprey,1
Limpet Lane,1004,7/14/17,28,,b.BB,gunnels,1
Limpet Lane,1004,7/14/17,28,,b.MRT,noprey,1
Limpet Lane,1004,7/14/17,28,,b.MRT,gunnels,1
Limpet Lane,1004,7/14/17,28,,b.RT,noprey,1
Limpet Lane,1004,7/14/17,28,,b.RT,gunnels,2
Limpet Lane,1005,7/21/17,29,,b.BB,gunnels,1
Limpet Lane,1005,7/21/17,29,,b.MRT,gunnels,1
Limpet Lane,1005,7/21/17,29,,b.M,gunnels,1
Limpet Lane,1005,7/21/17,29,,b.RT,gunnels,1
Limpet Lane,1005,7/21/17,29,,b.RT,other,1
Shore Meadows,1006,7/26/17,30,,b.2,noprey,1
Shore Meadows,1006,7/26/17,30,,b.3,noprey,1
Shore Meadows,1006,7/26/17,30,,b.4,noprey,1
Shore Meadows,1006,7/26/17,30,,b.11,noprey,1
Shore Meadows,1006,7/26/17,30,,b.11,sculpin,1
Shore Meadows,1006,7/26/17,30,,b.12,gunnels,1
Shore Meadows,1006,7/26/17,30,,b.15PK,noprey,1
Shore Meadows,1006,7/26/17,30,,b.CV1,noprey,1
Shore Meadows,1006,7/26/17,30,,b.CV1,sculpin,1
Shore Meadows,1006,7/26/17,30,,b.CV1,gunnels,1
Shore Meadows,1006,7/26/17,30,,b.CV2,noprey,1
Shore Meadows,1006,7/26/17,30,,b.U20,noprey,1
Shore Meadows,1006,7/26/17,30,,b.L20,noprey,1
Shore Meadows,1006,7/26/17,30,,b.15,noprey,3
Shore Meadows,1006,7/26/17,30,,b.33,sculpin,1
Clinton Ferry Dock,1007,7/22/17,29,,b.2,noprey,19
