Site,Date,Count,Count type,Comment,QAQC,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/8/2015,8,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/8/2015,10,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/8/2015,7,End,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/16/2015,6,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/16/2015,10,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/16/2015,10,End,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/23/2015,0,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/23/2015,2,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/23/2015,2,End,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/30/2015,8,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/30/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,6/30/2015,8,End,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/2/2015,10,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/2/2015,8,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/2/2015,10,End,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/9/2015,8,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/9/2015,10,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/9/2015,10,End,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/21/2015,6,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/21/2015,8,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/21/2015,10,End,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/29/2015,2,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/29/2015,5,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,7/29/2015,6,End,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,8/4/2015,4,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,8/4/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,8/4/2015,4,End,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,8/9/2015,6,Start,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,8/9/2015,7,Middle,,,,,,,,,,,,,,,,,,,,,,
Amsterdam Bay West,8/9/2015,1,End,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,6/9/2015,0,Start,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,6/9/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,6/9/2015,4,End,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,6/20/2015,5,Start,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,6/20/2015,3,Middle,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,6/20/2015,9,End,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,6/27/2015,10,Start,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,6/27/2015,18,Middle,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,6/27/2015,18,End,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,7/3/2015,5,Start,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,7/3/2015,7,Middle,,,,,,,,,,,,,,,,,,,,,,
Andy's Marine Park South,7/3/2015,8,End,,,,,,,,,,,,,,,,,,,,,,
Beachcrest,7/7/2015,9,Start,,,,,,,,,,,,,,,,,,,,,,
Beachcrest,7/7/2015,15,Middle,,,,,,,,,,,,,,,,,,,,,,
