"year","site","burrow_name","study_day","burrow_visit","tot_prey","prey_start","prey_end","bv_start","bv_end","prey_days","bv_days","capt_hist"
2008,"Cliffside","1",36,0,1,22,36,NA,NA,15,NA,2
2008,"Cliffside","1",22,0,1,22,36,NA,NA,15,NA,2
2008,"Cliffside","1",29,0,2,22,36,NA,NA,15,NA,2
2008,"Cliffside","10",36,0,1,36,36,NA,NA,1,NA,2
2008,"Cliffside","11",40,0,1,40,40,NA,NA,1,NA,2
2008,"Cliffside","2",22,1,0,40,40,22,29,1,8,1
2008,"Cliffside","2",40,0,1,40,40,22,29,1,8,2
2008,"Cliffside","2",29,1,0,40,40,22,29,1,8,1
2008,"Cliffside","3",36,2,1,36,40,22,36,5,15,2
2008,"Cliffside","3",22,1,0,36,40,22,36,5,15,1
2008,"Cliffside","3",40,0,2,36,40,22,36,5,15,2
2008,"Cliffside","4",40,0,1,40,40,29,29,1,1,2
2008,"Cliffside","4",29,1,0,40,40,29,29,1,1,1
2008,"Cliffside","5",29,0,1,29,40,NA,NA,12,NA,2
2008,"Cliffside","5",40,0,1,29,40,NA,NA,12,NA,2
2008,"Cliffside","5",36,0,1,29,40,NA,NA,12,NA,2
2008,"Cliffside","6",29,0,1,29,29,NA,NA,1,NA,2
2008,"Cliffside","7",36,1,0,NA,NA,36,36,NA,1,3
2008,"Cliffside","8",36,0,1,36,36,NA,NA,1,NA,2
2008,"Cliffside","9",36,1,0,NA,NA,36,36,NA,1,3
2008,"Crescent Harbor","2",59,0,1,59,59,NA,NA,1,NA,2
2008,"Crescent Harbor","3",48,0,1,34,59,NA,NA,26,NA,2
2008,"Crescent Harbor","3",43,0,2,34,59,NA,NA,26,NA,2
2008,"Crescent Harbor","3",34,0,1,34,59,NA,NA,26,NA,2
2008,"Crescent Harbor","3",59,0,1,34,59,NA,NA,26,NA,2
2008,"Crescent Harbor","5",43,0,1,34,43,NA,NA,10,NA,2
2008,"Crescent Harbor","5",34,0,1,34,43,NA,NA,10,NA,2
2008,"Crescent Harbor","8",48,0,1,48,48,NA,NA,1,NA,2
2008,"Double Bluff North","1",25,2,0,59,59,25,59,1,35,1
2008,"Double Bluff North","1",59,1,1,59,59,25,59,1,35,2
2008,"Double Bluff North","10",32,0,1,32,32,NA,NA,1,NA,2
2008,"Double Bluff North","11",39,1,0,NA,NA,39,39,NA,1,3
2008,"Double Bluff North","12",39,1,0,NA,NA,39,39,NA,1,3
2008,"Double Bluff North","13",39,1,0,NA,NA,39,39,NA,1,3
2008,"Double Bluff North","14",39,1,0,NA,NA,39,39,NA,1,3
2008,"Double Bluff North","15",39,1,1,39,39,39,53,1,15,2
2008,"Double Bluff North","15",53,3,0,39,39,39,53,1,15,3
2008,"Double Bluff North","16",53,2,0,39,59,39,53,21,15,3
2008,"Double Bluff North","16",47,0,1,39,59,39,53,21,15,2
2008,"Double Bluff North","16",39,3,1,39,59,39,53,21,15,2
2008,"Double Bluff North","16",59,0,1,39,59,39,53,21,15,2
2008,"Double Bluff North","17",47,0,1,47,47,NA,NA,1,NA,2
2008,"Double Bluff North","18",53,0,2,53,59,39,39,7,1,2
2008,"Double Bluff North","18",39,3,0,53,59,39,39,7,1,1
2008,"Double Bluff North","18",59,0,2,53,59,39,39,7,1,2
2008,"Double Bluff North","19",39,0,1,39,53,NA,NA,15,NA,2
2008,"Double Bluff North","19",53,0,1,39,53,NA,NA,15,NA,2
2008,"Double Bluff North","2",25,1,0,39,39,25,47,1,23,1
2008,"Double Bluff North","2",32,1,0,39,39,25,47,1,23,1
2008,"Double Bluff North","2",39,1,1,39,39,25,47,1,23,2
2008,"Double Bluff North","2",47,1,0,39,39,25,47,1,23,3
2008,"Double Bluff North","20",53,1,1,53,67,47,53,15,7,2
2008,"Double Bluff North","20",47,1,0,53,67,47,53,15,7,1
2008,"Double Bluff North","20",67,0,1,53,67,47,53,15,7,2
2008,"Double Bluff North","21",53,0,1,47,59,47,47,13,1,2
2008,"Double Bluff North","21",47,1,1,47,59,47,47,13,1,2
2008,"Double Bluff North","21",59,0,1,47,59,47,47,13,1,2
2008,"Double Bluff North","22",53,1,0,NA,NA,53,53,NA,1,3
2008,"Double Bluff North","23",53,0,1,53,75,NA,NA,23,NA,2
2008,"Double Bluff North","23",75,0,1,53,75,NA,NA,23,NA,2
2008,"Double Bluff North","24",53,0,2,53,53,NA,NA,1,NA,2
2008,"Double Bluff North","25",59,0,1,59,59,NA,NA,1,NA,2
2008,"Double Bluff North","26",75,0,1,75,75,NA,NA,1,NA,2
2008,"Double Bluff North","27",75,0,1,75,75,NA,NA,1,NA,2
2008,"Double Bluff North","3",47,1,0,NA,NA,25,67,NA,43,3
2008,"Double Bluff North","3",39,2,0,NA,NA,25,67,NA,43,3
2008,"Double Bluff North","3",53,1,0,NA,NA,25,67,NA,43,3
2008,"Double Bluff North","3",25,2,0,NA,NA,25,67,NA,43,3
2008,"Double Bluff North","3",67,1,0,NA,NA,25,67,NA,43,3
2008,"Double Bluff North","4",53,3,1,39,67,25,53,29,29,2
2008,"Double Bluff North","4",32,1,0,39,67,25,53,29,29,1
2008,"Double Bluff North","4",39,1,1,39,67,25,53,29,29,2
2008,"Double Bluff North","4",67,0,2,39,67,25,53,29,29,2
2008,"Double Bluff North","4",25,1,0,39,67,25,53,29,29,1
2008,"Double Bluff North","5",25,1,0,NA,NA,25,25,NA,1,3
2008,"Double Bluff North","6",25,1,0,NA,NA,25,25,NA,1,3
2008,"Double Bluff North","7",39,1,0,NA,NA,25,39,NA,15,3
2008,"Double Bluff North","7",25,1,0,NA,NA,25,39,NA,15,3
2008,"Double Bluff North","7",32,1,0,NA,NA,25,39,NA,15,3
2008,"Double Bluff North","8",32,0,1,32,39,NA,NA,8,NA,2
2008,"Double Bluff North","8",39,0,1,32,39,NA,NA,8,NA,2
2008,"Double Bluff North","9",53,0,2,32,59,32,32,28,1,2
2008,"Double Bluff North","9",59,0,1,32,59,32,32,28,1,2
2008,"Double Bluff North","9",39,0,1,32,59,32,32,28,1,2
2008,"Double Bluff North","9",32,3,1,32,59,32,32,28,1,2
2008,"Forbes Point","0",34,0,0,NA,NA,NA,NA,NA,NA,4
