"site","date","burrow_name","Gunnel","Sculpin","Other","burrow_visit","intern_data","qaqc_concern","year"
"Cliffside",2009-06-28,"3",1,0,0,0,"",NA,"2009"
"Cliffside",2009-06-28,"4",1,1,0,1,"",NA,"2009"
"Cliffside",2009-06-28,"5",0,0,0,1,"",NA,"2009"
"Cliffside",2009-06-28,"6",1,0,0,1,"",NA,"2009"
"Cliffside",2009-06-28,"7",0,0,0,1,"",NA,"2009"
"Cliffside",2009-07-06,"1",0,0,1,0,"",NA,"2009"
"Cliffside",2009-07-06,"3",0,0,0,1,"",NA,"2009"
"Cliffside",2009-07-06,"5",1,0,0,0,"",NA,"2009"
"Cliffside",2009-07-06,"6",2,0,0,0,"",NA,"2009"
"Cliffside",2009-07-06,"9",1,0,0,0,"",NA,"2009"
"Cliffside",2009-07-06,"10",1,0,0,0,"",NA,"2009"
"Cliffside",2009-07-06,"11",1,0,0,0,"",NA,"2009"
"Cliffside",2009-07-13,"1",1,0,0,1,"",NA,"2009"
"Cliffside",2009-07-13,"2",0,0,0,2,"",NA,"2009"
"Cliffside",2009-07-13,"3",3,0,0,2,"",NA,"2009"
"Cliffside",2009-07-13,"4",2,0,0,1,"",NA,"2009"
"Cliffside",2009-07-13,"5",2,0,0,2,"",NA,"2009"
"Cliffside",2009-07-13,"6",2,0,0,2,"",NA,"2009"
"Cliffside",2009-07-13,"7",1,0,0,1,"",NA,"2009"
"Cliffside",2009-07-13,"8",0,0,0,2,"",NA,"2009"
"Cliffside",2009-07-13,"9",1,0,0,2,"",NA,"2009"
"Cliffside",2009-07-13,"10",1,0,0,4,"",NA,"2009"
"Cliffside",2009-07-13,"11",1,0,0,1,"",NA,"2009"
"Cliffside",2009-07-13,"12",0,0,0,2,"",NA,"2009"
"Cliffside",2009-07-13,"13",0,0,0,2,"",NA,"2009"
"Cliffside",2009-07-21,"3",0,0,0,1,"",NA,"2009"
"Cliffside",2009-07-21,"10",1,0,0,1,"",NA,"2009"
"Cliffside",2009-08-05,"1",1,0,0,1,"",NA,"2009"
"Cliffside",2009-08-05,"2",1,0,0,1,"",NA,"2009"
"Cliffside",2009-08-05,"4",1,0,0,0,"",NA,"2009"
"Cliffside",2009-08-05,"7",1,0,0,0,"",NA,"2009"
"Cliffside",2009-08-05,"12",1,0,0,1,"",NA,"2009"
"Cliffside",2009-08-11,"8",1,0,0,0,"",NA,"2009"
"Cliffside",2008-06-23,"1",1,0,0,0,"",NA,"2008"
"Cliffside",2008-06-23,"2",0,0,0,1,"",NA,"2008"
"Cliffside",2008-06-23,"3",0,0,0,1,"",NA,"2008"
"Cliffside",2008-06-30,"1",2,0,0,0,"",NA,"2008"
"Cliffside",2008-06-30,"2",0,0,0,1,"",NA,"2008"
"Cliffside",2008-06-30,"4",0,0,0,1,"",NA,"2008"
"Cliffside",2008-06-30,"5",1,0,0,0,"",NA,"2008"
"Cliffside",2008-06-30,"6",1,0,0,0,"",NA,"2008"
"Cliffside",2008-07-07,"1",0,0,1,0,"",NA,"2008"
"Cliffside",2008-07-07,"3",1,0,0,2,"",NA,"2008"
"Cliffside",2008-07-07,"5",1,0,0,0,"",NA,"2008"
"Cliffside",2008-07-07,"7",0,0,0,1,"",NA,"2008"
"Cliffside",2008-07-07,"8",1,0,0,0,"",NA,"2008"
"Cliffside",2008-07-07,"9",0,0,0,1,"",NA,"2008"
"Cliffside",2008-07-07,"10",1,0,0,0,"",NA,"2008"
"Cliffside",2008-07-11,"2",1,0,0,0,"",NA,"2008"
"Cliffside",2008-07-11,"3",2,0,0,0,"",NA,"2008"
"Cliffside",2008-07-11,"4",1,0,0,0,"",NA,"2008"
"Cliffside",2008-07-11,"5",1,0,0,0,"",NA,"2008"
"Cliffside",2008-07-11,"11",1,0,0,0,"",NA,"2008"
"Cliffside",2010-06-28,"1",0,0,0,1,"",NA,"2010"
"Cliffside",2010-07-03,"1",1,0,0,0,"",NA,"2010"
"Cliffside",2010-07-03,"5",1,0,0,0,"",NA,"2010"
"Cliffside",2010-07-03,"6",2,0,0,0,"",NA,"2010"
"Cliffside",2010-07-05,"1",1,0,0,0,"",NA,"2010"
"Cliffside",2010-07-05,"3",1,0,0,0,"",NA,"2010"
"Cliffside",2010-07-21,"6",1,0,0,0,"",NA,"2010"
"Cliffside",2011-06-28,"1",0,0,0,1,"",NA,"2011"
"Cliffside",2011-06-28,"2",0,0,0,1,"",NA,"2011"
"Cliffside",2011-06-28,"6",0,0,0,1,"",NA,"2011"
"Cliffside",2011-07-06,"1",0,0,0,1,"",NA,"2011"
"Cliffside",2011-07-06,"2",0,0,0,1,"",NA,"2011"
"Cliffside",2011-07-06,"3",0,0,0,1,"",NA,"2011"
"Cliffside",2011-07-06,"4",0,0,0,1,"",NA,"2011"
"Cliffside",2011-07-06,"6",0,0,0,1,"",NA,"2011"
"Cliffside",2011-07-18,"1",0,1,0,0,"",NA,"2011"
"Cliffside",2011-08-03,"1",1,0,0,2,"",NA,"2011"
"Cliffside",2011-08-03,"2",2,0,1,2,"",NA,"2011"
"Cliffside",2011-08-03,"3",2,0,1,0,"",NA,"2011"
"Cliffside",2011-08-03,"4",4,0,0,0,"",NA,"2011"
"Cliffside",2011-08-03,"5",2,0,2,0,"",NA,"2011"
"Cliffside",2011-08-03,"6",2,0,2,0,"",NA,"2011"
"Cliffside",2011-08-03,"7",2,0,0,0,"",NA,"2011"
"Cliffside",2011-08-15,"4",0,0,1,2,"",NA,"2011"
"Cliffside",2012-07-02,"1",0,0,0,1,"",NA,"2012"
"Cliffside",2012-07-02,"2",0,0,0,1,"",NA,"2012"
"Cliffside",2012-07-09,"2",0,0,0,1,"",NA,"2012"
"Cliffside",2012-07-09,"3",0,0,0,1,"",NA,"2012"
"Cliffside",2012-07-16,"2",0,0,0,1,"",NA,"2012"
"Cliffside",2012-07-16,"3",0,0,0,1,"",NA,"2012"
"Cliffside",2012-07-23,"4",1,0,0,0,"",NA,"2012"
"Cliffside",2012-08-06,"5",0,0,0,1,"",NA,"2012"
"Cliffside",2012-08-06,"6",0,0,0,1,"",NA,"2012"
"Cliffside",2012-08-06,"7",0,0,0,1,"",NA,"2012"
"Cliffside",2012-08-14,"4",2,0,0,0,"",NA,"2012"
"Cliffside",2013-06-25,"1",0,0,0,2,"",NA,"2013"
"Cliffside",2013-07-02,"1",0,0,0,1,"",NA,"2013"
"Cliffside",2013-07-10,"1",0,0,0,1,"",NA,"2013"
"Cliffside",2013-07-15,"2",0,0,0,1,"",NA,"2013"
"Cliffside",2013-07-15,"3",0,0,0,2,"",NA,"2013"
"Cliffside",2013-07-22,"4",0,0,0,2,"",NA,"2013"
"Cliffside",2013-07-22,"5",0,0,0,1,"",NA,"2013"
"Cliffside",2013-07-22,"6",1,0,0,1,"",NA,"2013"
"Cliffside",2013-07-29,"2",1,0,0,1,"",NA,"2013"
