"year","site","burrow_name","week","study_day","burrow_visit","tot_prey","prey_start","prey_end","bv_start","bv_end","prey_days","bv_days","capt_hist"
2008,"Cliffside","1",28,36,0,1,22,36,NA,NA,15,NA,2
2008,"Cliffside","1",26,22,0,1,22,36,NA,NA,15,NA,2
2008,"Cliffside","1",27,29,0,2,22,36,NA,NA,15,NA,2
2008,"Cliffside","10",28,36,0,1,36,36,NA,NA,1,NA,2
2008,"Cliffside","11",28,40,0,1,40,40,NA,NA,1,NA,2
2008,"Cliffside","2",26,22,1,0,40,40,22,29,1,8,1
2008,"Cliffside","2",28,40,0,1,40,40,22,29,1,8,2
2008,"Cliffside","2",27,29,1,0,40,40,22,29,1,8,1
2008,"Cliffside","3",28,36,2,1,36,40,22,36,5,15,2
2008,"Cliffside","3",26,22,1,0,36,40,22,36,5,15,1
2008,"Cliffside","3",28,40,0,2,36,40,22,36,5,15,2
2008,"Cliffside","4",28,40,0,1,40,40,29,29,1,1,2
2008,"Cliffside","4",27,29,1,0,40,40,29,29,1,1,1
2008,"Cliffside","5",27,29,0,1,29,40,NA,NA,12,NA,2
2008,"Cliffside","5",28,40,0,1,29,40,NA,NA,12,NA,2
2008,"Cliffside","5",28,36,0,1,29,40,NA,NA,12,NA,2
2008,"Cliffside","6",27,29,0,1,29,29,NA,NA,1,NA,2
2008,"Cliffside","7",28,36,1,0,NA,NA,36,36,NA,1,1
2008,"Cliffside","8",28,36,0,1,36,36,NA,NA,1,NA,2
2008,"Cliffside","9",28,36,1,0,NA,NA,36,36,NA,1,1
2008,"Crescent Harbor","2",31,59,0,1,59,59,NA,NA,1,NA,2
2008,"Crescent Harbor","3",29,48,0,1,34,59,NA,NA,26,NA,2
2008,"Crescent Harbor","3",29,43,0,2,34,59,NA,NA,26,NA,2
2008,"Crescent Harbor","3",27,34,0,1,34,59,NA,NA,26,NA,2
2008,"Crescent Harbor","3",31,59,0,1,34,59,NA,NA,26,NA,2
2008,"Crescent Harbor","5",29,43,0,1,34,43,NA,NA,10,NA,2
2008,"Crescent Harbor","5",27,34,0,1,34,43,NA,NA,10,NA,2
