"region","site","year","date","week","yday","burrow_name","burrow_visit","Gunnel","Sculpin","Other","tot_prey","intern_data"
"SS","Amsterdam Bay","2015",2015-06-08,24,159,NA,NA,NA,NA,NA,NA,NA
"SS","Amsterdam Bay","2015",2015-06-16,25,167,NA,NA,NA,NA,NA,NA,NA
"SS","Amsterdam Bay","2015",2015-06-23,26,174,NA,NA,NA,NA,NA,NA,NA
"SS","Amsterdam Bay","2015",2015-06-30,27,181,NA,NA,NA,NA,NA,NA,NA
"SS","Amsterdam Bay","2015",2015-07-02,27,183,"1",2,1,0,0,1,""
"SS","Amsterdam Bay","2015",2015-07-09,28,190,"3",2,2,0,0,2,""
"SS","Amsterdam Bay","2015",2015-07-09,28,190,"2",3,2,1,0,3,""
"SS","Amsterdam Bay","2015",2015-07-09,28,190,"1",2,1,1,0,2,""
"SS","Amsterdam Bay","2015",2015-07-21,30,202,"2",1,1,0,0,1,""
"SS","Amsterdam Bay","2015",2015-07-29,31,210,"2",1,1,0,0,1,""
"SS","Amsterdam Bay","2015",2015-08-04,32,216,NA,NA,NA,NA,NA,NA,NA
"SS","Amsterdam Bay","2015",2015-08-09,32,221,NA,NA,NA,NA,NA,NA,NA
"SS","Andys Marine Park South","2017",2017-06-06,23,157,NA,NA,NA,NA,NA,NA,NA
"SS","Andys Marine Park South","2017",2017-06-13,24,164,NA,NA,NA,NA,NA,NA,NA
"SS","Andys Marine Park South","2017",2017-06-17,24,168,NA,NA,NA,NA,NA,NA,NA
"SS","Andys Marine Park South","2017",2017-06-20,25,171,NA,NA,NA,NA,NA,NA,NA
"SS","Andys Marine Park South","2017",2017-06-24,25,175,"1",1,0,0,0,0,""
"SS","Andys Marine Park South","2017",2017-07-01,26,182,"3",1,0,0,0,0,""
"SS","Andys Marine Park South","2017",2017-07-01,26,182,"2",1,1,0,0,1,""
"SS","Andys Marine Park South","2017",2017-07-04,27,185,NA,NA,NA,NA,NA,NA,NA
"SS","Andys Marine Park South","2017",2017-07-08,27,189,"3",1,1,0,0,1,""
"SS","Andys Marine Park South","2017",2017-07-08,27,189,"1",1,1,0,0,1,""
"SS","Andys Marine Park South","2017",2017-07-11,28,192,NA,NA,NA,NA,NA,NA,NA
"SS","Andys Marine Park South","2017",2017-07-15,28,196,"1",1,0,1,0,1,""
"SS","Andys Marine Park South","2017",2017-07-15,28,196,"2",1,1,0,0,1,""
"SS","Andys Marine Park South","2017",2017-07-22,29,203,"3",1,1,1,0,2,""
"SS","Andys Marine Park South","2017",2017-07-22,29,203,"1",1,1,0,0,1,""
"SS","Andys Marine Park South","2017",2017-07-29,30,210,"1",1,1,1,0,2,""
"SS","Andys Marine Park South","2017",2017-07-29,30,210,"3",1,0,1,0,1,""
