"site","date","intern_data","start_time","end_time","PG_count","burrow_count","burrow_visit.x","qaqc","mult_count","burrow_name","Gunnel","Sculpin","Other","burrow_visit.y","qaqc_concern"
"Cliffside",2008-06-23,"","8:50","9:50",47,3,0,"","","1",1,0,0,0,""
"Cliffside",2008-06-23,"","8:50","9:50",47,3,0,"","","2",0,0,0,1,""
"Cliffside",2008-06-23,"","8:50","9:50",47,3,0,"","","3",0,0,0,1,""
"Cliffside",2008-06-30,"","8:30","9:30",6,6,0,"","","2",0,0,0,1,""
"Cliffside",2008-06-30,"","8:30","9:30",6,6,0,"","","1",2,0,0,0,""
"Cliffside",2008-06-30,"","8:30","9:30",6,6,0,"","","4",0,0,0,1,""
"Cliffside",2008-06-30,"","8:30","9:30",6,6,0,"","","6",1,0,0,0,""
"Cliffside",2008-06-30,"","8:30","9:30",6,6,0,"","","5",1,0,0,0,""
"Cliffside",2008-07-07,"","8:36","9:36",41,7,0,"","","1",0,0,1,0,""
"Cliffside",2008-07-07,"","8:36","9:36",41,7,0,"","","8",1,0,0,0,""
"Cliffside",2008-07-07,"","8:36","9:36",41,7,0,"","","10",1,0,0,0,""
"Cliffside",2008-07-07,"","8:36","9:36",41,7,0,"","","5",1,0,0,0,""
"Cliffside",2008-07-07,"","8:36","9:36",41,7,0,"","","9",0,0,0,1,""
"Cliffside",2008-07-07,"","8:36","9:36",41,7,0,"","","7",0,0,0,1,""
"Cliffside",2008-07-07,"","8:36","9:36",41,7,0,"","","3",1,0,0,2,""
"Cliffside",2008-07-11,"","8:45","9:45",18,11,0,"","","4",1,0,0,0,""
"Cliffside",2008-07-11,"","8:45","9:45",18,11,0,"","","11",1,0,0,0,""
"Cliffside",2008-07-11,"","8:45","9:45",18,11,0,"","","3",2,0,0,0,""
"Cliffside",2008-07-11,"","8:45","9:45",18,11,0,"","","2",1,0,0,0,""
"Cliffside",2008-07-11,"","8:45","9:45",18,11,0,"","","5",1,0,0,0,""
"Cliffside",2009-06-28,"","8:15","9:15",35,9,0,"","","7",0,0,0,1,""
"Cliffside",2009-06-28,"","8:15","9:15",35,9,0,"","","6",1,0,0,1,""
"Cliffside",2009-06-28,"","8:15","9:15",35,9,0,"","","3",1,0,0,0,""
"Cliffside",2009-06-28,"","8:15","9:15",35,9,0,"","","5",0,0,0,1,""
"Cliffside",2009-06-28,"","8:15","9:15",35,9,0,"","","4",1,1,0,1,""
"Cliffside",2009-07-06,"","8:30","9:30",10,11,0,"","","6",2,0,0,0,""
"Cliffside",2009-07-06,"","8:30","9:30",10,11,0,"","","5",1,0,0,0,""
"Cliffside",2009-07-06,"","8:30","9:30",10,11,0,"","","3",0,0,0,1,""
"Cliffside",2009-07-06,"","8:30","9:30",10,11,0,"","","1",0,0,1,0,""
"Cliffside",2009-07-06,"","8:30","9:30",10,11,0,"","","11",1,0,0,0,""
"Cliffside",2009-07-06,"","8:30","9:30",10,11,0,"","","9",1,0,0,0,""
"Cliffside",2009-07-06,"","8:30","9:30",10,11,0,"","","10",1,0,0,0,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","1",1,0,0,1,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","13",0,0,0,2,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","11",1,0,0,1,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","2",0,0,0,2,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","12",0,0,0,2,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","7",1,0,0,1,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","8",0,0,0,2,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","5",2,0,0,2,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","6",2,0,0,2,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","10",1,0,0,4,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","9",1,0,0,2,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","4",2,0,0,1,""
"Cliffside",2009-07-13,"","8:42","9:42",41,13,0,"","","3",3,0,0,2,""
"Cliffside",2009-07-21,"","8:20","9:20",30,13,0,"","","3",0,0,0,1,""
"Cliffside",2009-07-21,"","8:20","9:20",30,13,0,"","","10",1,0,0,1,""
"Cliffside",2009-08-05,"","8:25","9:25",18,13,0,"","","2",1,0,0,1,""
"Cliffside",2009-08-05,"","8:25","9:25",18,13,0,"","","4",1,0,0,0,""
"Cliffside",2009-08-05,"","8:25","9:25",18,13,0,"","","12",1,0,0,1,""
"Cliffside",2009-08-05,"","8:25","9:25",18,13,0,"","","1",1,0,0,1,""
"Cliffside",2009-08-05,"","8:25","9:25",18,13,0,"","","7",1,0,0,0,""
"Cliffside",2009-08-11,"","8:35","9:35",48,13,0,"","","8",1,0,0,0,""
"Cliffside",2010-06-28,"","8:00","9:10",10,6,1,"","","1",0,0,0,1,""
"Cliffside",2010-07-03,"","8:15","9:30",23,6,0,"","","5",1,0,0,0,""
"Cliffside",2010-07-03,"","8:15","9:30",23,6,0,"","","1",1,0,0,0,""
"Cliffside",2010-07-03,"","8:15","9:30",23,6,0,"","","6",2,0,0,0,""
"Cliffside",2010-07-05,"","8:15","9:15",38,6,0,"","","1",1,0,0,0,""
"Cliffside",2010-07-05,"","8:15","9:15",38,6,0,"","","3",1,0,0,0,""
"Cliffside",2010-07-21,"","8:30","9:40",1,0,0,"","","6",1,0,0,0,""
"Cliffside",2011-06-28,"","7:40","8:40",23,3,3,"","","1",0,0,0,1,""
"Cliffside",2011-06-28,"","7:40","8:40",23,3,3,"","","2",0,0,0,1,""
"Cliffside",2011-06-28,"","7:40","8:40",23,3,3,"","","6",0,0,0,1,""
"Cliffside",2011-07-06,"","8:05","9:05",18,5,5,"","","1",0,0,0,1,""
"Cliffside",2011-07-06,"","8:05","9:05",18,5,5,"","","4",0,0,0,1,""
"Cliffside",2011-07-06,"","8:05","9:05",18,5,5,"","","3",0,0,0,1,""
"Cliffside",2011-07-06,"","8:05","9:05",18,5,5,"","","2",0,0,0,1,""
"Cliffside",2011-07-06,"","8:05","9:05",18,5,5,"","","6",0,0,0,1,""
"Cliffside",2011-07-18,"","8:10","9:10",15,5,0,"","","1",0,1,0,0,""
"Cliffside",2011-08-03,"","8:00","9:00",33,7,8,"","","6",2,0,2,0,""
"Cliffside",2011-08-03,"","8:00","9:00",33,7,8,"","","3",2,0,1,0,""
"Cliffside",2011-08-03,"","8:00","9:00",33,7,8,"","","5",2,0,2,0,""
"Cliffside",2011-08-03,"","8:00","9:00",33,7,8,"","","7",2,0,0,0,""
"Cliffside",2011-08-03,"","8:00","9:00",33,7,8,"","","2",2,0,1,2,""
"Cliffside",2011-08-03,"","8:00","9:00",33,7,8,"","","4",4,0,0,0,""
"Cliffside",2011-08-03,"","8:00","9:00",33,7,8,"","","1",1,0,0,2,""
"Cliffside",2011-08-15,"","8:00","9:00",22,7,2,"","","4",0,0,1,2,""
"Cliffside",2012-07-02,"","7:30","8:30",9,2,2,"","","2",0,0,0,1,""
"Cliffside",2012-07-02,"","7:30","8:30",9,2,2,"","","1",0,0,0,1,""
"Cliffside",2012-07-09,"","7:00","8:00",29,3,3,"","","3",0,0,0,1,""
"Cliffside",2012-07-09,"","7:00","8:00",29,3,3,"","","2",0,0,0,1,""
"Cliffside",2012-07-16,"","7:45","8:45",6,3,2,"","","3",0,0,0,1,""
"Cliffside",2012-07-16,"","7:45","8:45",6,3,2,"","","2",0,0,0,1,""
