"region","site","date","start_time","PG_count","count_type","intern_data","year","week","yday"
"Whidbey","Cliffside",2014-06-16,"8:00",39,"pg","",2014,25,167
"Whidbey","Cliffside",2014-06-23,"7:30",13,"pg","",2014,26,174
"Whidbey","Cliffside",2014-06-30,"7:45",6,"pg","",2014,27,181
"Whidbey","Cliffside",2014-07-07,"7:10",14,"pg","",2014,28,188
"Whidbey","Cliffside",2014-07-14,"7:40",15,"pg","",2014,29,195
"Whidbey","Cliffside",2014-07-21,"7:30",16,"pg","",2014,30,202
"Whidbey","Cliffside",2014-07-28,"7:45",12,"pg","",2014,31,209
"Whidbey","Cliffside",2014-08-04,"7:10",5,"pg","",2014,32,216
"Whidbey","Cliffside",2014-08-11,"7:25",13,"pg","",2014,33,223
"Whidbey","Cliffside",2014-08-18,"7:10",4,"pg","",2014,34,230
"Whidbey","Cliffside",2014-08-26,"7:45",0,"pg","",2014,35,238
"Whidbey","Cliffside",2010-06-28,"8:00",10,"pg","",2010,26,179
"Whidbey","Cliffside",2010-07-03,"8:15",23,"pg","",2010,26,184
"Whidbey","Cliffside",2010-07-05,"8:15",38,"pg","",2010,27,186
"Whidbey","Cliffside",2010-07-13,"10:00",2,"pg","",2010,28,194
"Whidbey","Cliffside",2010-07-21,"8:30",1,"pg","",2010,29,202
"Whidbey","Cliffside",2011-06-28,"7:40",23,"pg","",2011,26,179
"Whidbey","Cliffside",2011-07-06,"8:05",18,"pg","",2011,27,187
"Whidbey","Cliffside",2011-07-12,"8:30",23,"pg","",2011,28,193
"Whidbey","Cliffside",2011-07-18,"8:10",15,"pg","",2011,29,199
"Whidbey","Cliffside",2011-07-29,"8:00",5,"pg","",2011,30,210
"Whidbey","Cliffside",2011-08-03,"8:00",33,"pg","",2011,31,215
"Whidbey","Cliffside",2011-08-11,"7:45",12,"pg","",2011,32,223
"Whidbey","Cliffside",2011-08-15,"8:00",22,"pg","",2011,33,227
"Whidbey","Cliffside",2012-06-25,"7:30",23,"pg","",2012,26,177
"Whidbey","Cliffside",2012-07-02,"7:30",9,"pg","",2012,27,184
"Whidbey","Cliffside",2012-07-09,"7:00",29,"pg","",2012,28,191
"Whidbey","Cliffside",2012-07-16,"7:45",6,"pg","",2012,29,198
"Whidbey","Cliffside",2012-07-23,"8:00",21,"pg","",2012,30,205
"Whidbey","Cliffside",2012-07-31,"7:20",1,"pg","",2012,31,213
"Whidbey","Cliffside",2012-08-06,"7:20",29,"pg","",2012,32,219
"Whidbey","Cliffside",2012-08-14,"7:45",6,"pg","",2012,33,227
"Whidbey","Cliffside",2012-08-21,"7:30",11,"pg","",2012,34,234
"Whidbey","Cliffside",2012-08-27,"7:35",0,"pg","",2012,35,240
"Whidbey","Cliffside",2013-06-25,"7:30",15,"pg","",2013,26,176
"Whidbey","Cliffside",2013-07-02,"7:45",14,"pg","",2013,27,183
"Whidbey","Cliffside",2013-07-10,"7:10",7,"pg","",2013,28,191
"Whidbey","Cliffside",2013-07-15,"7:10",17,"pg","",2013,29,196
"Whidbey","Cliffside",2013-07-22,"7:20",7,"pg","",2013,30,203
"Whidbey","Cliffside",2013-07-29,"7:30",21,"pg","",2013,31,210
"Whidbey","Cliffside",2013-08-09,"7:45",26,"pg","",2013,32,221
"Whidbey","Cliffside",2013-08-12,"7:30",29,"pg","",2013,33,224
"Whidbey","Cliffside",2013-08-19,"7:40",11,"pg","",2013,34,231
"Whidbey","Cliffside",2013-08-26,"7:30",14,"pg","",2013,35,238
"Whidbey","Cliffside",2009-06-28,"8:15",35,"pg","",2009,26,179
"Whidbey","Cliffside",2009-07-06,"8:30",10,"pg","",2009,28,187
"Whidbey","Cliffside",2009-07-13,"8:42",41,"pg","",2009,29,194
"Whidbey","Cliffside",2009-07-21,"8:20",30,"pg","",2009,30,202
"Whidbey","Cliffside",2009-08-05,"8:25",18,"pg","",2009,32,217
"Whidbey","Cliffside",2009-08-11,"8:35",48,"pg","",2009,33,223
"Whidbey","Cliffside",2009-08-17,"8:15",0,"pg","",2009,34,229
"Whidbey","Cliffside",2008-06-23,"8:50",47,"pg","",2008,26,175
"Whidbey","Cliffside",2008-06-30,"8:30",6,"pg","",2008,27,182
"Whidbey","Cliffside",2008-07-07,"8:36",41,"pg","",2008,28,189
"Whidbey","Cliffside",2008-07-11,"8:45",18,"pg","",2008,28,193
"Whidbey","Cliffside",2008-07-21,"8:35",51,"pg","",2008,30,203
"Whidbey","Cliffside",2008-07-28,"8:35",6,"pg","",2008,31,210
"Whidbey","Cliffside",2008-08-04,"8:43",23,"pg","",2008,32,217
"Whidbey","Coupeville Wharf",2013-06-24,"7:30",6,"pg","",2013,26,175
"Whidbey","Coupeville Wharf",2013-07-02,"8:00",9,"pg","",2013,27,183
"Whidbey","Coupeville Wharf",2013-07-10,"7:55",8,"pg","",2013,28,191
"Whidbey","Coupeville Wharf",2013-07-16,"8:10",11,"pg","",2013,29,197
"Whidbey","Coupeville Wharf",2013-07-25,"8:15",11,"pg","",2013,30,206
"Whidbey","Coupeville Wharf",2013-07-30,"7:45",15,"pg","",2013,31,211
"Whidbey","Coupeville Wharf",2013-08-06,"8:00",12,"pg","",2013,32,218
"Whidbey","Coupeville Wharf",2013-08-12,"7:45",10,"pg","",2013,33,224
"Whidbey","Coupeville Wharf",2013-08-19,"7:45",5,"pg","",2013,34,231
"Whidbey","Crescent Harbor",2011-06-29,"7:50",15,"pg","",2011,26,180
"Whidbey","Crescent Harbor",2011-07-05,"7:20",12,"pg","",2011,27,186
"Whidbey","Crescent Harbor",2011-07-12,"7:30",4,"pg","",2011,28,193
"Whidbey","Crescent Harbor",2009-06-29,"8:20",10,"pg","",2009,27,180
"Whidbey","Crescent Harbor",2009-07-06,"8:30",5,"pg","",2009,28,187
"Whidbey","Crescent Harbor",2009-07-14,"7:50",18,"pg","",2009,29,195
"Whidbey","Crescent Harbor",2009-07-20,"8:30",10,"pg","",2009,30,201
"Whidbey","Crescent Harbor",2009-07-27,"8:05",15,"pg","",2009,31,208
"Whidbey","Crescent Harbor",2009-08-03,"8:00",7,"pg","",2009,32,215
"Whidbey","Crescent Harbor",2009-08-10,"8:05",6,"pg","",2009,33,222
"Whidbey","Crescent Harbor",2009-08-17,"8:08",9,"pg","",2009,34,229
"Whidbey","Crescent Harbor",2008-06-28,"6:30",14,"pg","",2008,26,180
"Whidbey","Crescent Harbor",2008-07-05,"7:00",11,"pg","",2008,27,187
"Whidbey","Crescent Harbor",2008-07-14,"8:00",12,"pg","",2008,29,196
"Whidbey","Crescent Harbor",2008-07-19,"8:00",8,"pg","",2008,29,201
"Whidbey","Crescent Harbor",2008-07-30,"7:00",10,"pg","",2008,31,212
"Whidbey","Crescent Harbor",2008-08-06,"7:00",12,"pg","",2008,32,219
"Whidbey","Double Bluff North",2014-06-20,"8:25",52,"pg","",2014,25,171
"Whidbey","Double Bluff North",2014-06-27,"8:28",25,"pg","",2014,26,178
"Whidbey","Double Bluff North",2014-07-03,"7:40",63,"pg","",2014,27,184
"Whidbey","Double Bluff North",2014-07-11,"8:10",19,"pg","",2014,28,192
"Whidbey","Double Bluff North",2014-07-18,"8:15",71,"pg","",2014,29,199
"Whidbey","Double Bluff North",2014-07-25,"8:14",19,"pg","",2014,30,206
"Whidbey","Double Bluff North",2014-08-01,"8:10",80,"pg","",2014,31,213
"Whidbey","Double Bluff North",2014-08-07,"8:15",16,"pg","",2014,32,219
"Whidbey","Double Bluff North",2014-08-14,"8:20",63,"pg","",2014,33,226
"Whidbey","Double Bluff North",2014-08-21,"8:15",1,"pg","",2014,34,233
"Whidbey","Double Bluff North",2010-07-01,"8:35",99,"pg","",2010,26,182
"Whidbey","Double Bluff North",2010-07-10,"8:30",48,"pg","",2010,27,191
"Whidbey","Double Bluff North",2010-07-14,"8:20",79,"pg","",2010,28,195
"Whidbey","Double Bluff North",2010-07-21,"8:25",72,"pg","",2010,29,202
"Whidbey","Double Bluff North",2010-07-28,"8:45",105,"pg","",2010,30,209
"Whidbey","Double Bluff North",2010-08-04,"8:25",99,"pg","",2010,31,216
"Whidbey","Double Bluff North",2010-08-11,"8:30",63,"pg","",2010,32,223
"Whidbey","Double Bluff North",2010-08-18,"8:25",12,"pg","",2010,33,230
"Whidbey","Double Bluff North",2010-08-25,"8:23",34,"pg","",2010,34,237
"Whidbey","Double Bluff North",2011-07-01,"8:25",14,"pg","",2011,26,182
"Whidbey","Double Bluff North",2011-07-07,"8:28",90,"pg","",2011,27,188
"Whidbey","Double Bluff North",2011-07-14,"8:25",64,"pg","",2011,28,195
"Whidbey","Double Bluff North",2011-07-21,"8:20",87,"pg","",2011,29,202
"Whidbey","Double Bluff North",2011-07-28,"8:25",78,"pg","",2011,30,209
"Whidbey","Double Bluff North",2011-08-04,"8:35",89,"pg","",2011,31,216
"Whidbey","Double Bluff North",2011-08-11,"8:05",44,"pg","",2011,32,223
"Whidbey","Double Bluff North",2011-08-18,"8:15",101,"pg","",2011,33,230
"Whidbey","Double Bluff North",2011-08-25,"8:15",10,"pg","",2011,34,237
"Whidbey","Double Bluff North",2011-09-01,"8:25",5,"pg","",2011,35,244
"Whidbey","Double Bluff North",2012-06-27,"8:30",83,"pg","",2012,26,179
"Whidbey","Double Bluff North",2012-07-06,"8:18",86,"pg","",2012,27,188
"Whidbey","Double Bluff North",2012-07-13,"8:25",77,"pg","",2012,28,195
"Whidbey","Double Bluff North",2012-07-21,"8:15",83,"pg","",2012,29,203
"Whidbey","Double Bluff North",2012-07-27,"8:15",54,"pg","",2012,30,209
"Whidbey","Double Bluff North",2012-08-02,"8:23",26,"pg","",2012,31,215
"Whidbey","Double Bluff North",2012-08-10,"8:16",60,"pg","",2012,32,223
"Whidbey","Double Bluff North",2012-08-16,"8:12",22,"pg","",2012,33,229
"Whidbey","Double Bluff North",2012-08-24,"8:15",20,"pg","",2012,34,237
"Whidbey","Double Bluff North",2012-08-31,"8:15",5,"pg","",2012,35,244
"Whidbey","Double Bluff North",2013-06-26,"8:30",45,"pg","",2013,26,177
"Whidbey","Double Bluff North",2013-07-03,"8:20",61,"pg","",2013,27,184
"Whidbey","Double Bluff North",2013-07-10,"8:20",45,"pg","",2013,28,191
"Whidbey","Double Bluff North",2013-07-17,"8:15",40,"pg","",2013,29,198
"Whidbey","Double Bluff North",2013-07-24,"8:24",42,"pg","",2013,30,205
"Whidbey","Double Bluff North",2013-07-31,"8:10",40,"pg","",2013,31,212
"Whidbey","Double Bluff North",2013-08-07,"8:10",61,"pg","",2013,32,219
"Whidbey","Double Bluff North",2013-08-14,"8:10",42,"pg","",2013,33,226
"Whidbey","Double Bluff North",2013-08-21,"8:19",13,"pg","",2013,34,233
"Whidbey","Double Bluff North",2009-06-30,"8:50",72,"pg","",2009,27,181
"Whidbey","Double Bluff North",2009-07-07,"8:45",93,"pg","",2009,28,188
"Whidbey","Double Bluff North",2009-07-14,"8:45",117,"pg","",2009,29,195
"Whidbey","Double Bluff North",2009-07-20,"8:30",65,"pg","",2009,30,201
"Whidbey","Double Bluff North",2009-07-30,"8:37",110,"pg","",2009,31,211
"Whidbey","Double Bluff North",2009-08-05,"8:44",56,"pg","",2009,32,217
"Whidbey","Double Bluff North",2009-08-11,"7:45",118,"pg","",2009,33,223
"Whidbey","Double Bluff North",2009-08-19,"8:35",35,"pg","",2009,34,231
"Whidbey","Double Bluff North",2008-06-26,"8:15",66,"pg","",2008,26,178
"Whidbey","Double Bluff North",2008-07-03,"8:00",25,"pg","",2008,27,185
"Whidbey","Double Bluff North",2008-07-10,"8:15",101,"pg","",2008,28,192
"Whidbey","Double Bluff North",2008-07-18,"8:30",67,"pg","",2008,29,200
"Whidbey","Double Bluff North",2008-07-24,"8:15",95,"pg","",2008,30,206
"Whidbey","Double Bluff North",2008-07-30,"8:00",84,"pg","",2008,31,212
"Whidbey","Double Bluff North",2008-08-07,"7:55",93,"pg","",2008,32,220
"Whidbey","Double Bluff North",2008-08-15,"7:55",24,"pg","",2008,33,228
"Whidbey","Double Bluff South",2014-06-19,"8:00",6,"pg","",2014,25,170
"Whidbey","Double Bluff South",2014-06-28,"7:45",5,"pg","",2014,26,179
"Whidbey","Double Bluff South",2014-07-04,"8:00",8,"pg","",2014,27,185
"Whidbey","Double Bluff South",2014-07-09,"8:30",7,"pg","",2014,28,190
"Whidbey","Double Bluff South",2014-07-16,"7:45",13,"pg","",2014,29,197
"Whidbey","Double Bluff South",2014-07-23,"8:15",16,"pg","",2014,30,204
"Whidbey","Double Bluff South",2014-07-30,"7:45",13,"pg","",2014,31,211
"Whidbey","Double Bluff South",2014-08-06,"8:30",13,"pg","",2014,32,218
"Whidbey","Double Bluff South",2014-08-15,"8:00",7,"pg","",2014,33,227
"Whidbey","Double Bluff South",2011-06-27,"8:30",12,"pg","",2011,26,178
"Whidbey","Double Bluff South",2011-07-04,"8:15",17,"pg","",2011,27,185
"Whidbey","Double Bluff South",2011-07-12,"8:25",15,"pg","",2011,28,193
"Whidbey","Double Bluff South",2011-07-19,"7:45",18,"pg","",2011,29,200
"Whidbey","Double Bluff South",2011-07-25,"7:45",10,"pg","",2011,30,206
"Whidbey","Double Bluff South",2011-08-02,"8:10",13,"pg","",2011,31,214
"Whidbey","Double Bluff South",2011-08-12,"8:00",18,"pg","",2011,32,224
"Whidbey","Double Bluff South",2012-07-09,"7:15",8,"pg","",2012,28,191
"Whidbey","Double Bluff South",2012-07-16,"8:00",6,"pg","",2012,29,198
"Whidbey","Double Bluff South",2012-07-24,"6:55",13,"pg","",2012,30,206
"Whidbey","Double Bluff South",2012-08-03,"8:15",3,"pg","",2012,31,216
"Whidbey","Double Bluff South",2013-06-27,"9:00",9,"pg","",2013,26,178
"Whidbey","Double Bluff South",2013-07-04,"8:58",20,"pg","",2013,27,185
"Whidbey","Double Bluff South",2013-07-11,"8:23",18,"pg","",2013,28,192
"Whidbey","Double Bluff South",2013-07-19,"8:11",20,"pg","",2013,29,200
"Whidbey","Double Bluff South",2013-07-24,"8:19",8,"pg","",2013,30,205
"Whidbey","Double Bluff South",2013-07-31,"8:30",19,"pg","",2013,31,212
