"year","site","cnt","tot","perc_suc"
2008,"Cliffside",1,9,0.11
2008,"Crescent Harbor",2,4,0.5
2008,"Double Bluff North",7,18,0.39
2008,"Forbes Point",1,4,0.25
2008,"Fort Casey",1,6,0.17
2008,"Harrington North",2,12,0.17
2008,"Harrington South",4,7,0.57
2008,"Hastie Lake",1,2,0.5
2008,"Keystone",4,6,0.67
2008,"Lagoon North #1",1,3,0.33
2008,"Lagoon North #3",3,5,0.6
2008,"Lagoon South",3,6,0.5
2008,"Lake Hancock",3,10,0.3
2008,"Ledgewood",8,12,0.67
2008,"Limpet Lane",3,6,0.5
2008,"Maylor Point",2,6,0.33
2008,"Monroe Landing",2,2,1
2008,"Mutiny Sands",1,6,0.17
2008,"Possession Point",4,6,0.67
2008,"Pratts Bluff",1,11,0.09
2008,"Rolling Hills #1",7,9,0.78
2008,"Shore Meadows",2,2,1
2008,"Swantown",4,6,0.67
2009,"Cliffside",6,12,0.5
2009,"Crescent Harbor",1,3,0.33
2009,"Double Bluff North",6,16,0.38
2009,"Double Bluff South",2,3,0.67
2009,"Fort Casey",5,8,0.62
2009,"Harrington North",3,7,0.43
2009,"Harrington South",2,9,0.22
2009,"Keystone",3,5,0.6
2009,"Lagoon North #1",3,11,0.27
2009,"Lagoon North #2",2,3,0.67
2009,"Lagoon South",2,6,0.33
2009,"Lake Hancock",4,8,0.5
2009,"Ledgewood",8,9,0.89
2009,"Limpet Lane",2,3,0.67
2009,"Malmo Bluff",4,12,0.33
2009,"Maylor Point",1,5,0.2
2009,"Monroe Landing",1,2,0.5
2009,"Mutiny Sands",4,9,0.44
2009,"Possession Point",3,5,0.6
2009,"Pratts Bluff",6,10,0.6
2009,"Rolling Hills #1",1,6,0.17
2009,"Rolling Hills #2",3,9,0.33
2009,"Shore Meadows",7,13,0.54
2009,"Swantown",3,5,0.6
2010,"Cliffside",1,4,0.25
2010,"Double Bluff South",10,23,0.43
2010,"Forbes Point",2,3,0.67
2010,"Fort Casey",2,6,0.33
2010,"Harrington North",1,5,0.2
2010,"Hastie Lake",4,7,0.57
2010,"Keystone",3,8,0.38
2010,"Lagoon North #1",1,3,0.33
2010,"Lagoon North #2",2,2,1
2010,"Lagoon South",3,7,0.43
2010,"Lake Hancock",2,3,0.67
2010,"Ledgewood",5,5,1
2010,"Limpet Lane",1,3,0.33
2010,"Malmo Bluff",7,10,0.7
2010,"Maylor Point",3,6,0.5
2010,"Monroe Landing",2,3,0.67
2010,"Mutiny Sands",4,11,0.36
2010,"Possession Point",3,5,0.6
2010,"Pratts Bluff",6,7,0.86
2010,"Rolling Hills",13,17,0.76
2010,"Rolling Hills #1",5,8,0.62
2011,"Cliffside",2,7,0.29
2011,"Double Bluff North",8,18,0.44
2011,"Forbes Point",1,4,0.25
2011,"Fort Casey",4,5,0.8
2011,"Harrington North",1,3,0.33
2011,"Harrington South",1,3,0.33
2011,"Hastie Lake",2,2,1
2011,"Keystone",7,10,0.7
2011,"Lagoon North #1",5,13,0.38
2011,"Lagoon North #2",2,2,1
2011,"Lagoon South",4,11,0.36
2011,"Lake Hancock",6,10,0.6
2011,"Ledgewood",2,2,1
2011,"Limpet Lane",1,6,0.17
2011,"Malmo Bluff",5,12,0.42
2011,"Maylor Point",3,5,0.6
2011,"Monroe Landing",3,3,1
2011,"Mutiny Sands",7,11,0.64
2011,"Possession Point",4,5,0.8
2011,"Pratts Bluff",5,8,0.62
2011,"Rolling Hills",11,13,0.85
2011,"Rolling Hills #1",7,10,0.7
2011,"Rolling Hills #2",4,6,0.67
2011,"Shore Meadows",5,13,0.38
2012,"Cliffside",1,1,1
2012,"Double Bluff North",5,9,0.56
2012,"Forbes Point",3,4,0.75
2012,"Fort Casey",2,8,0.25
2012,"Harrington North",3,5,0.6
2012,"Harrington South",2,5,0.4
2012,"Hastie Lake South",3,4,0.75
2012,"Keystone",6,7,0.86
2012,"Lagoon North #1",4,8,0.5
2012,"Lagoon North #2",1,2,0.5
2012,"Lagoon South",5,10,0.5
2012,"Lake Hancock",7,11,0.64
2012,"Ledgewood",1,7,0.14
2012,"Limpet Lane",2,7,0.29
2012,"Malmo Bluff",1,7,0.14
2012,"Monroe Landing",1,1,1
2012,"Mutiny Sands",2,4,0.5
2012,"Possession Point",4,6,0.67
2012,"Pratts Bluff",6,9,0.67
2012,"Rolling Hills",10,14,0.71
2012,"Rolling Hills #1",9,11,0.82
2012,"Rolling Hills #2",1,1,1
2012,"Shore Meadows",3,12,0.25
2012,"Swantown",1,3,0.33
2013,"Cliffside",3,6,0.5
2013,"Coupeville Wharf",1,2,0.5
2013,"Double Bluff North",8,17,0.47
2013,"Forbes Point",3,3,1
2013,"Fort Casey",1,7,0.14
2013,"Harrington North",2,2,1
2013,"Harrington South",1,2,0.5
2013,"Hastie Lake North",2,3,0.67
2013,"Hastie Lake South",5,7,0.71
2013,"Keystone",4,7,0.57
2013,"Lagoon North #1",1,8,0.12
2013,"Lagoon North #2",2,2,1
2013,"Lagoon South",3,4,0.75
2013,"Lake Hancock",11,16,0.69
2013,"Ledgewood",4,7,0.57
2013,"Malmo Bluff",5,10,0.5
2013,"Monroe Landing",2,2,1
2013,"Mutiny Sands",6,10,0.6
2013,"Possession Point",2,3,0.67
2013,"Pratts Bluff",6,15,0.4
2013,"Rolling Hills #1",6,10,0.6
2013,"Rolling Hills #2",6,8,0.75
2013,"Shore Meadows",5,14,0.36
2013,"Swantown",3,3,1
2014,"Cliffside",3,6,0.5
2014,"Double Bluff North",8,11,0.73
2014,"Double Bluff South",1,2,0.5
2014,"Fort Casey",4,9,0.44
2014,"Harrington North",1,2,0.5
2014,"Harrington South",1,1,1
2014,"Hastie Lake South",5,9,0.56
2014,"Keystone",5,5,1
2014,"Lagoon North #1",1,4,0.25
2014,"Lagoon North #3",1,2,0.5
2014,"Lagoon South",2,3,0.67
2014,"Ledgewood",5,6,0.83
2014,"Malmo Bluff",3,12,0.25
2014,"Maylor Point",2,4,0.5
2014,"Monroe Landing",1,1,1
2014,"Mutiny Sands",4,10,0.4
2014,"Possession Point",2,2,1
2014,"Pratts Bluff",5,11,0.45
2014,"Rolling Hills #1",6,12,0.5
2014,"Rolling Hills #2",4,5,0.8
2014,"Rolling Hills #3",3,3,1
2014,"Shore Meadows",2,11,0.18
2014,"Swantown",5,7,0.71
