"region","year","site","burrow_name","prey_weeks","start_prey","end_prey","prey_week_range","prey_discrep","nest_succ"
"SS","2015","Amsterdam Bay","1",2,27,28,2,0,"N"
"SS","2015","Amsterdam Bay","2",3,28,31,4,1,"Y"
"SS","2015","Amsterdam Bay","3",1,28,28,1,0,"N"
"SS","2015","Big Fish Trap","A",4,27,30,4,0,"Y"
"SS","2015","Burfoot Park","2",1,33,33,1,0,"N"
"SS","2015","Burfoot Park","3",2,26,27,2,0,"N"
"SS","2015","Burfoot Park","4",3,26,28,3,0,"Y"
"SS","2015","Burfoot Park","5",4,29,32,4,0,"Y"
"SS","2015","Burfoot Park","6",4,27,31,5,1,"Y"
"SS","2015","Butterball North","2",1,31,31,1,0,"N"
"SS","2015","Cole Pt","1",5,26,31,6,1,"Y"
"SS","2015","Cole Pt","2",2,28,30,3,1,"Y"
"SS","2015","Cole Pt","3",3,29,32,4,1,"Y"
"SS","2015","Compass Rock","1",1,28,28,1,0,"N"
"SS","2015","Flapjack","B",2,27,28,2,0,"N"
"SS","2015","Higgins Cove","1",4,27,32,6,2,"Y"
"SS","2015","Higgins Cove","2",2,28,29,2,0,"N"
"SS","2015","Ketron SE","1",1,30,30,1,0,"N"
"SS","2015","Ketron SE","3",2,32,33,2,0,"N"
"SS","2015","Lyle Point","12",1,28,28,1,0,"N"
"SS","2015","Lyle Point","2",1,35,35,1,0,"N"
"SS","2015","Totten Elizan C","1",2,25,27,3,1,"Y"
"SS","2015","Totten Legacy","1",3,27,29,3,0,"Y"
"SS","2015","Walnut Rd A","1",2,28,30,3,1,"Y"
"SS","2015","Walnut Rd C","1",2,29,30,2,0,"N"
"SS","2015","Youngs Cove B","1",4,25,29,5,1,"Y"
"SS","2015","Youngs Cove B","3",4,26,29,4,0,"Y"
"SS","2015","Youngs Cove C","1",3,30,32,3,0,"Y"
"SS","2015","Youngs Cove D","1",3,26,30,5,2,"Y"
"SS","2015","Youngs Cove E","1",1,29,29,1,0,"N"
"SS","2015","Youngs Cove E","3",1,29,29,1,0,"N"
"SS","2015","Youngs Cove F","1 ",1,27,27,1,0,"N"
"SS","2015","Zangle Cove A","1",2,24,26,3,1,"Y"
"SS","2015","Zangle Cove A","4",4,26,30,5,1,"Y"
"SS","2015","Zittels Marina","1",1,27,27,1,0,"N"
"SS","2016","Briscoe Pt","1",3,23,26,4,1,"Y"
"SS","2016","Briscoe Pt","2",2,24,27,4,2,"Y"
"SS","2016","Briscoe Pt","3",2,25,26,2,0,"N"
"SS","2016","Briscoe Pt","4",3,25,27,3,0,"Y"
"SS","2016","Burfoot Park","1",2,26,27,2,0,"N"
"SS","2016","Burfoot Park","2",4,26,29,4,0,"Y"
"SS","2016","Burfoot Park","3",3,25,27,3,0,"Y"
"SS","2016","Butterball Cove South A","1",6,27,35,9,3,"Y"
"SS","2016","Butterball Cove South A","2",3,25,29,5,2,"Y"
"SS","2016","Butterball Cove South A","4",5,27,31,5,0,"Y"
"SS","2016","Cole Pt","1",3,24,28,5,2,"Y"
"SS","2016","Cole Pt","2",1,26,26,1,0,"N"
"SS","2016","Cole Pt","3",1,26,26,1,0,"N"
"SS","2016","Flapjack","1",3,26,30,5,2,"Y"
"SS","2016","Flapjack","2",1,30,30,1,0,"N"
"SS","2016","Flapjack","FB",1,27,27,1,0,"N"
"SS","2016","Gull Harbor","1",1,27,27,1,0,"N"
"SS","2016","Gull Harbor","8",1,27,27,1,0,"N"
"SS","2016","Higgins Cove","1",4,27,30,4,0,"Y"
"SS","2016","Higgins Cove","2",3,27,30,4,1,"Y"
"SS","2016","Lyle Point","1",2,26,28,3,1,"Y"
"SS","2016","Lyle Point","2",1,28,28,1,0,"N"
"SS","2016","Lyle Point","3",3,28,30,3,0,"Y"
"SS","2016","Lyle Point","4",1,26,26,1,0,"N"
"SS","2016","Mill Bight A","FB",4,26,29,4,0,"Y"
"SS","2016","Mill Bight B","1",1,32,32,1,0,"N"
"SS","2016","Mill Bight B","2",3,30,32,3,0,"Y"
"SS","2016","Totten Elizan A North","AN",1,33,33,1,0,"N"
"SS","2016","Totten Elizan C","1",3,23,26,4,1,"Y"
"SS","2016","Totten Legacy","1",3,26,29,4,1,"Y"
"SS","2016","Walnut Rd B","FB",1,28,28,1,0,"N"
"SS","2016","Walnut Rd C","1",2,28,29,2,0,"N"
"SS","2016","Youngs Cove A","1",3,28,31,4,1,"Y"
"SS","2016","Youngs Cove A","2",2,25,28,4,2,"Y"
"SS","2016","Youngs Cove B","1",2,23,25,3,1,"Y"
"SS","2016","Youngs Cove C","1",3,24,28,5,2,"Y"
"SS","2016","Youngs Cove D","1",2,27,28,2,0,"N"
"SS","2016","Youngs Cove E","1",1,25,25,1,0,"N"
"SS","2016","Youngs Cove E","2",1,30,30,1,0,"N"
"SS","2016","Zangle Cove A","1",3,24,28,5,2,"Y"
"SS","2017","Andys Marine Park South","1",6,27,32,6,0,"Y"
"SS","2017","Andys Marine Park South","2",2,26,28,3,1,"Y"
"SS","2017","Andys Marine Park South","3",4,27,32,6,2,"Y"
"SS","2017","Andys Marine Park West","1",3,28,30,3,0,"Y"
"SS","2017","Beachcrest","1",3,30,32,3,0,"Y"
"SS","2017","Briscoe Pt","10",2,26,29,4,2,"Y"
"SS","2017","Briscoe Pt","3",2,27,28,2,0,"N"
"SS","2017","Briscoe Pt","4",1,28,28,1,0,"N"
"SS","2017","Briscoe Pt","9",1,27,27,1,0,"N"
"SS","2017","Burfoot Extended","1",1,29,29,1,0,"N"
"SS","2017","Burfoot Extended","3",1,29,29,1,0,"N"
"SS","2017","Burfoot Park","1",4,27,30,4,0,"Y"
"SS","2017","Burfoot Park","2",4,24,28,5,1,"Y"
"SS","2017","Burfoot Park","3",4,25,28,4,0,"Y"
"SS","2017","Burfoot Park","5",1,28,28,1,0,"N"
"SS","2017","Butterball Cove South A","1",4,27,32,6,2,"Y"
"SS","2017","Butterball Cove South A","2",5,27,32,6,1,"Y"
"SS","2017","Butterball Cove South A","3",3,29,32,4,1,"Y"
"SS","2017","Butterball Cove South A","4",3,30,32,3,0,"Y"
"SS","2017","Butterball North","A",7,31,37,7,0,"Y"
"SS","2017","Butterball North","C",1,33,33,1,0,"N"
"SS","2017","Flapjack","1",4,25,28,4,0,"Y"
"SS","2017","Flapjack","2",1,28,28,1,0,"N"
"SS","2017","Gull Harbor","1",2,24,26,3,1,"Y"
"SS","2017","Gull Harbor","8",1,31,31,1,0,"N"
"SS","2017","Ketron SE","3",3,27,29,3,0,"Y"
"SS","2017","Ketron SW","3",1,29,29,1,0,"N"
"SS","2017","Ketron SW","4",1,28,28,1,0,"N"
"SS","2017","Lyle Point","1",1,28,28,1,0,"N"
"SS","2017","Lyle Point","2",2,28,29,2,0,"N"
"SS","2017","Lyle Point","4",1,29,29,1,0,"N"
"SS","2017","Mill Bight A","1",5,27,31,5,0,"Y"
