"year","site","week","PG_count"
2008,"Cliffside",26,47
2008,"Cliffside",28,41
2008,"Cliffside",30,51
2008,"Crescent Harbor",26,14
2008,"Crescent Harbor",27,11
2008,"Crescent Harbor",29,12
2008,"Crescent Harbor",29,8
2008,"Crescent Harbor",31,10
2008,"Crescent Harbor",32,12
2008,"Double Bluff North",26,66
2008,"Double Bluff North",28,101
2008,"Double Bluff North",29,67
2008,"Double Bluff North",30,95
2008,"Double Bluff North",31,84
2008,"Double Bluff North",32,93
2008,"Double Bluff South",26,20
2008,"Double Bluff South",28,23
2008,"Double Bluff South",29,16
2008,"Double Bluff South",30,24
2008,"Forbes Point",26,18
2008,"Forbes Point",28,17
2008,"Forbes Point",30,16
2008,"Forbes Point",32,28
2008,"Forbes Point",32,21
2008,"Fort Casey",26,30
2008,"Fort Casey",28,25
2008,"Fort Casey",30,48
2008,"Fort Casey",30,30
2008,"Hancock Lake",26,44
2008,"Hancock Lake",27,46
2008,"Hancock Lake",28,32
2008,"Hancock Lake",29,32
2008,"Hancock Lake",30,29
2008,"Hancock Lake",32,50
2008,"Harrington North",27,21
2008,"Harrington North",28,30
2008,"Harrington North",29,25
2008,"Harrington North",30,40
2008,"Harrington South",30,33
2008,"Harrington South",31,38
2008,"Hastie Lake",26,29
2008,"Hastie Lake",27,30
2008,"Hastie Lake",28,31
2008,"Hastie Lake",29,26
2008,"Hastie Lake",30,31
2008,"Hastie Lake",32,16
2008,"Keystone",25,32
2008,"Keystone",27,41
2008,"Keystone",30,22
2008,"Keystone",31,28
2008,"Keystone",33,35
2008,"Lagoon North #1",26,55
2008,"Lagoon North #1",29,58
2008,"Lagoon North #1",29,54
2008,"Lagoon North #1",30,44
2008,"Lagoon North #1",31,70
2008,"Lagoon North #1",32,44
2008,"Lagoon North #2",26,38
2008,"Lagoon North #2",29,54
2008,"Lagoon North #2",32,42
2008,"Lagoon North #3",29,26
2008,"Lagoon North #3",30,26
2008,"Lagoon North #3",31,26
2008,"Lagoon North #3",32,18
2008,"Lagoon South",26,35
2008,"Lagoon South",28,38
2008,"Lagoon South",29,35
2008,"Lagoon South",30,41
2008,"Lagoon South",31,45
2008,"Lagoon South",32,42
2008,"Ledgewood",26,18
2008,"Ledgewood",27,22
2008,"Ledgewood",24,28
2008,"Ledgewood",29,23
2008,"Ledgewood",30,30
2008,"Ledgewood",31,29
2008,"Ledgewood",31,25
2008,"Ledgewood",32,27
2008,"Ledgewood",33,28
2008,"Limpet Lane",26,38
2008,"Limpet Lane",30,45
2008,"Limpet Lane",32,37
2008,"Malmo Bluff",26,26
2008,"Malmo Bluff",28,22
2008,"Malmo Bluff",29,22
2008,"Malmo Bluff",30,18
2008,"Malmo Bluff",32,16
2008,"Maylor Point",26,15
2008,"Maylor Point",29,17
2008,"Maylor Point",29,15
2008,"Maylor Point",31,17
2008,"Maylor Point",32,19
2008,"Monroe Landing",26,9
2008,"Monroe Landing",27,11
2008,"Monroe Landing",28,13
2008,"Monroe Landing",29,10
2008,"Monroe Landing",31,11
2008,"Monroe Landing",32,7
2008,"Mutiny Sands",26,40
2008,"Mutiny Sands",28,40
2008,"Mutiny Sands",29,33
2008,"Mutiny Sands",30,50
2008,"Possession Point",26,18
2008,"Possession Point",28,22
2008,"Possession Point",29,21
2008,"Possession Point",30,20
2008,"Possession Point",32,24
2008,"Pratts Bluff",26,18
2008,"Pratts Bluff",27,17
2008,"Pratts Bluff",27,30
2008,"Pratts Bluff",29,21
2008,"Pratts Bluff",30,15
2008,"Pratts Bluff",31,19
2008,"Rolling Hills",28,61
2008,"Rolling Hills",30,69
2008,"Shore Meadows",26,81
2008,"Shore Meadows",27,52
2008,"Shore Meadows",28,46
2008,"Shore Meadows",30,47
2008,"Shore Meadows",31,53
2008,"Swantown",28,30
2008,"Swantown",30,34
2008,"Swantown",31,27
2008,"Swantown",32,39
2009,"Cliffside",26,35
2009,"Cliffside",29,41
2009,"Cliffside",30,30
2009,"Cliffside",33,48
2009,"Crescent Harbor",27,10
2009,"Crescent Harbor",29,18
2009,"Crescent Harbor",30,10
2009,"Crescent Harbor",31,15
2009,"Crescent Harbor",34,9
2009,"Double Bluff North",27,72
2009,"Double Bluff North",28,93
2009,"Double Bluff North",29,117
2009,"Double Bluff North",30,65
2009,"Double Bluff North",31,110
2009,"Double Bluff North",33,118
2009,"Double Bluff South",29,15
2009,"Double Bluff South",30,18
2009,"Double Bluff South",31,20
2009,"Double Bluff South",32,18
2009,"Fort Casey",27,30
2009,"Fort Casey",28,35
2009,"Fort Casey",29,30
2009,"Fort Casey",31,32
2009,"Fort Casey",32,44
2009,"Fort Casey",33,55
2009,"Hancock Lake",27,65
2009,"Hancock Lake",28,69
2009,"Hancock Lake",29,42
2009,"Hancock Lake",30,63
2009,"Hancock Lake",31,50
2009,"Hancock Lake",32,73
2009,"Hastie Lake",27,36
2009,"Hastie Lake",29,26
2009,"Hastie Lake",30,30
2009,"Hastie Lake",31,33
2009,"Hastie Lake",33,39
2009,"Keystone",27,27
2009,"Keystone",28,28
2009,"Keystone",30,39
2009,"Keystone",31,34
2009,"Keystone",32,32
2009,"Keystone",34,28
2009,"Lagoon North #1",26,46
2009,"Lagoon North #1",27,40
2009,"Lagoon North #1",29,36
2009,"Lagoon North #1",29,42
2009,"Lagoon North #1",30,57
2009,"Lagoon North #1",31,37
2009,"Lagoon North #1",32,64
2009,"Lagoon North #2",29,14
2009,"Lagoon North #2",31,15
2009,"Lagoon North #2",32,18
2009,"Lagoon North #3",30,26
2009,"Lagoon North #3",31,16
2009,"Lagoon North #3",31,22
2009,"Lagoon North #3",32,26
2009,"Lagoon South",31,35
2009,"Lagoon South",29,46
2009,"Lagoon South",27,35
2009,"Lagoon South",27,57
2009,"Lagoon South",28,52
2009,"Lagoon South",33,43
2009,"Lagoon South",31,33
2009,"Lagoon South",30,56
2009,"Lagoon South",32,45
2009,"Ledgewood",27,26
2009,"Ledgewood",28,25
2009,"Ledgewood",29,39
2009,"Ledgewood",30,38
2009,"Ledgewood",31,36
2009,"Ledgewood",32,36
2009,"Ledgewood",33,26
2009,"Ledgewood",34,20
2009,"Limpet Lane",29,32
2009,"Limpet Lane",31,23
2009,"Malmo Bluff",28,22
2009,"Malmo Bluff",29,30
2009,"Malmo Bluff",30,16
2009,"Malmo Bluff",31,25
2009,"Malmo Bluff",32,20
2009,"Malmo Bluff",33,18
2009,"Maylor Point",29,21
2009,"Maylor Point",31,20
2009,"Maylor Point",33,24
2009,"Monroe Landing",28,13
2009,"Monroe Landing",30,13
2009,"Monroe Landing",33,26
2009,"Mutiny Sands",28,34
2009,"Mutiny Sands",29,45
2009,"Mutiny Sands",30,29
2009,"Mutiny Sands",31,40
2009,"Mutiny Sands",32,41
